State,County,Population_Diversity_Index,Black_pop_perc
TX,Edwards,51.0336,0.8
MD,Talbot,36.0954,13.2
CO,Douglas,28.0311,1.4
AL,Winston,10.7808,0.9
VA,Smyth,10.6026,2.2
DE,New Castle,56.628,24.7
KY,Simpson,26.0188,9.8
CO,Baca,24.1141,1
MO,Shelby,6.6517,0.6
ND,Hettinger,13.9042,0.6
MS,Carroll,47.2853,33.3
VA,Patrick,18.7464,5.9
CO,Clear Creek,16.6932,0.9
AL,Cullman,14.7579,1.4
VA,Greene,26.9911,6.8
GA,Chatham,58.3735,40.2
IA,Palo Alto,8.3606,0.7
IL,Shelby,4.3387,0.4
MI,Baraga,43.3451,7.5
AK,Nome Census Area,42.1728,0.7
MO,Buchanan,27.0005,5.9
OH,Athens,18.5617,2.8
KS,Sumner,17.9222,1.3
GA,Newton,56.0536,42.5
NC,Anson,55.6216,48.5
GA,Chattooga,29.9333,10.4
NE,Banner,10.8764,0.1
AR,Boone,10.6016,0.4
WV,Barbour,7.4172,0.9
TX,Throckmorton,24.417,0.9
GA,Columbia,45.9782,16.5
CO,Park,17.7024,0.5
MO,Lewis,13.712,3.4
PA,Butler,8.9349,1.2
OH,Hardin,8.74,1
OR,Klamath,34.5935,0.8
VA,Franklin,23.0233,8.2
KY,Bullitt,9.1206,1
TX,Hidalgo,16.6345,0.8
OH,Marion,20.1324,6.3
OR,Clackamas,29.1752,1
OH,Clermont,10.8058,1.4
TX,Van Zandt,27.1318,3
KS,Allen,16.5955,2.2
AR,Johnson,31.7055,2.1
WA,San Juan,19.2974,0.6
MN,Stevens,17.8444,1.3
LA,Acadia Parish,35.5956,18.3
KY,Marion,24.1699,8.6
PA,Somerset,9.4635,2.7
KY,Clinton,9.2685,0.5
CO,Ouray,14.1661,0.2
UT,Emery,16.0412,0.4
MI,Livingston,9.8613,0.6
GA,Calhoun,51.002,61.4
IN,Kosciusko,20.1435,1
MA,Suffolk,66.0503,24.5
NM,Curry,58.0366,6.9
LA,Plaquemines Parish,50.6809,20.2
PA,Lackawanna,21.6958,3.1
IL,Ogle,21.5075,1.1
NC,Perquimans,42.8922,24.6
IN,Union,7.4164,0.6
MI,Leelanau,17.2389,0.4
MN,Crow Wing,8.7448,0.6
GA,Gilmer,22.9831,0.9
TN,Henry,22.6886,8.2
NC,Swain,50.9809,1.1
TX,Culberson,40.9028,1.1
AL,Bibb,39.41,22.1
TN,Hardin,14.6075,3.7
OK,Bryan,44.2237,1.8
MS,Jones,48.8874,29.2
SD,McCook,9.8241,0.5
WV,Kanawha,21.7397,7.6
OH,Jackson,7.4186,0.7
TX,Kendall,38.6932,1
TX,Childress,55.8921,10.2
OK,Okmulgee,55.2011,8.7
NC,Guilford,59.7774,33.8
NV,Storey,27.5323,1.7
MN,Nicollet,17.2835,2.3
WV,Webster,4.5308,0.4
TX,San Patricio,52.578,2.1
VA,Northumberland,44.3375,25
KY,Boyle,24.2834,7.6
VA,Botetourt,12.6151,3.3
DC,District of Columbia,61.4376,49.5
GA,Paulding,41.1326,17.8
AL,Macon,30.9447,81.5
MN,St. Louis,15.5697,1.5
IA,Benton,5.8812,0.5
WI,Juneau,15.178,2.4
WV,Berkeley,26.4588,7.4
AL,Pike,53.6147,36.8
CT,Hartford,53.4966,15
TN,Madison,53.4441,37.3
OR,Malheur,50.5367,1.4
TX,Lubbock,57.0089,7.8
LA,St. Helena Parish,52.163,53
SD,Gregory,21.0434,0.4
MI,Shiawassee,10.4099,0.6
MI,Cheboygan,14.6185,0.6
NM,McKinley,38.1879,0.9
AK,Matanuska-Susitna Borough,33.1951,1.3
IA,Dubuque,14.6515,2.8
WI,Door,10.4069,0.6
TN,Cocke,12.0892,2
VA,Craig,4.334,0.2
CO,Bent,54.7807,6.8
NY,Rockland,54.2071,12.9
WA,Ferry,41.7565,0.6
AL,Lowndes,40.1937,73.1
IL,Wabash,7.9857,0.8
OH,Delaware,23.1542,3.5
TX,Comanche,41.8065,0.9
MA,Essex,41.1591,6
CA,Lassen,51.4288,8.5
LA,Richland Parish,49.9691,35.9
IA,Clinton,15.6975,3.1
PA,Fayette,14.1828,4.7
WI,Wood,12.8244,0.7
IA,Boone,9.6709,1
TN,Dickson,18.3236,4.3
WI,Manitowoc,15.5103,0.7
IA,Osceola,15.1092,0.4
IA,Kossuth,7.4022,0.6
SC,Lee,48.7133,63.2
OK,Osage,54.7996,11.5
MN,Becker,23.9118,0.6
WV,Marion,13.1534,3.6
KY,Muhlenberg,14.5246,5
GA,Meriwether,52.0496,39.1
MT,Sheridan,12.2729,0.4
NY,Schoharie,12.0693,1.4
IA,Keokuk,6.2612,0.6
CT,Fairfield,53.1964,12
WV,Nicholas,5.1153,0.3
CA,Tehama,44.9472,0.9
NE,Hall,44.4213,2.5
NJ,Ocean,26.4588,3.5
MT,Hill,44.6804,0.5
IN,Clay,6.463,0.6
OH,Preble,6.273,0.6
RI,Kent,17.9978,1.8
TN,Fayette,45.8204,27.8
AR,Arkansas,44.4622,24.8
SD,Sanborn,8.5327,0.3
MN,Red Lake,13.3397,0.7
LA,Concordia Parish,51.051,40.4
CO,Rio Blanco,28.3425,1
TN,Obion,28.1033,10.9
MT,Garfield,4.5305,0.2
WV,Wetzel,4.337,0.4
NY,Allegany,9.6853,1.3
MN,Pipestone,16.7245,1.2
GA,Banks,21.0037,2.8
KY,Webster,20.1917,4.3
MT,McCone,7.6101,0.6
MT,Teton,10.0445,0.1
NE,Custer,9.0853,0.5
UT,Carbon,28.7184,0.7
CO,Grand,20.1142,0.5
ID,Idaho,15.508,0.3
FL,Broward,67.8237,28.5
OK,Caddo,57.7476,3
NM,Grant,53.3092,1.2
PA,Clinton,9.1179,1.8
IN,Johnson,16.6047,1.7
MT,Custer,12.9916,0.5
NC,Beaufort,49.5151,25.4
AR,Phillips,49.0589,62
CA,Yolo,64.2001,3
CA,Fresno,61.8892,5.9
MS,Covington,49.5025,35.7
KS,Mitchell,7.9743,0.3
MO,Clark,5.4976,0.3
TX,Dawson,55.3319,7.1
IL,De Witt,9.293,0.8
SD,Moody,34.4864,1
KY,Washington,21.4784,6.3
NC,McDowell,21.3538,4.1
OK,Jackson,52.8564,8
NY,Cortland,13.3718,1.8
KS,Wabaunsee,12.7857,0.8
IA,Ida,7.0293,0.4
FL,Suwannee,40.3443,13.4
FL,Brevard,39.5788,10.6
ME,Kennebec,9.3086,0.6
IN,Vermillion,5.4973,0.3
GA,Butts,46.4117,27.9
MO,Miller,9.4969,0.6
SD,Hutchinson,8.9245,0.7
CA,Siskiyou,37.3131,1.5
GA,Schley,42.736,21.9
GA,Clarke,59.1439,27.3
ND,McIntosh,7.7914,0.3
NM,Torrance,54.178,2.1
NC,Columbus,53.7243,30.5
CO,Morgan,51.0019,3.1
GA,Atkinson,58.8653,17.9
TX,Nacogdoches,56.654,18.4
AK,Lake and Peninsula Borough,52.1401,0.8
GA,Dawson,13.3064,0.8
GA,Mitchell,55.3171,47.9
KS,Jewell,8.5308,0.3
IA,Madison,6.4584,0.5
NJ,Burlington,47.9367,17.5
MS,Franklin,48.0677,35.5
NE,Howard,7.9646,0.3
TN,Henderson,22.2199,7.8
CA,Kern,59.6651,6.3
NJ,Camden,58.2783,21
AR,Miller,44.9569,24.6
TX,Grayson,38.2844,6.1
NM,Eddy,53.6931,1.9
KS,Rice,27.1228,1.7
OK,Alfalfa,27.1199,4.2
OH,Shelby,12.6541,2.2
PA,Clearfield,12.4158,2.8
IN,Steuben,10.7566,0.8
PA,Blair,9.3045,1.8
NE,Logan,9.1133,0.4
TX,Johnson,40.1421,3.1
NE,Nemaha,10.6037,1.1
WI,Sawyer,36.7073,0.6
NV,Churchill,42.0549,2.1
VA,Chesterfield,53.1245,23.2
AL,Chambers,51.7068,39.1
MN,Kittson,7.3928,0.3
GA,Lincoln,47.1384,31.5
MS,Washington,42.1677,71.3
TX,Denton,55.8831,9.4
IA,Plymouth,10.7461,0.5
SD,Tripp,30.2784,0.3
NC,Surry,27.2606,4.1
MS,Lowndes,52.9928,43.8
NE,Douglas,46.1351,11.6
OR,Benton,31.1324,1.1
CO,Garfield,44.6238,1.2
KY,Bath,8.1714,1.4
IL,Stark,6.844,0.6
KY,Carter,6.2689,0.7
WY,Teton,32.523,1.5
IA,Calhoun,9.8625,1.8
VA,Caroline,50.9671,28.4
IL,Cass,37.4173,4.4
KY,Martin,20.3838,6.9
TN,McNairy,18.0295,6.1
WY,Sublette,21.8882,1.4
OR,Deschutes,21.7084,0.5
IA,Fremont,8.9001,0.6
IA,Sac,7.9542,0.3
NC,Orange,48.1789,12.2
ND,Sheridan,8.9237,0.3
GA,Taylor,51.2362,38.2
TN,Franklin,19.8731,5.2
TX,Wise,35.324,1.5
NC,Hoke,68.6301,34.1
PA,Lycoming,16.3588,4.7
NY,Herkimer,9.4852,1.3
OK,Kiowa,40.9428,4.5
VA,Colonial Heights city,38.3305,13
AZ,Apache,41.8588,0.7
OH,Guernsey,9.4932,1.5
KS,Kiowa,16.8566,0.8
AL,Mobile,53.5304,35.3
NY,Seneca,19.4971,5.2
SD,Hand,5.6904,0.1
AL,Colbert,35.1218,16.4
OR,Lake,25.4379,0.5
KY,Logan,21.1107,6.8
NC,Rockingham,42.7547,18.9
AR,Jefferson,52.6248,55.6
TX,Coke,38.1524,1.1
AK,Kenai Peninsula Borough,32.394,0.9
MO,Schuyler,4.5309,0.2
CA,Del Norte,55.2126,3.7
OH,Logan,11.5422,1.8
SD,Jones,19.4479,0.7
FL,Nassau,23.3596,6.5
GA,Monroe,42.165,23.1
WA,Lewis,26.891,0.8
KY,Leslie,3.5581,0.4
GA,Richmond,55.6878,55.2
IA,Webster,20.0522,4.1
CO,Kiowa,14.9703,0.6
PA,Clarion,6.4641,1
KY,Hickman,22.2017,9.2
KY,Clark,17.9174,5.1
IN,Warrick,12.2895,1.4
ND,Oliver,11.3364,0.3
MS,Winston,52.7666,45.7
NY,Cattaraugus,16.6185,1.4
PA,Susquehanna,6.6452,0.5
CO,Cheyenne,26.2285,0.6
AR,Nevada,49.2333,30.7
HI,Maui,74.0757,0.8
NY,Washington,13.5139,3.3
CO,Rio Grande,52.1253,0.6
KY,Lincoln,10.5966,2.4
ME,Sagadahoc,9.6842,0.8
SD,Hamlin,9.4472,0.5
VA,James City,39.4935,13.7
CO,Routt,17.9369,0.5
IL,Livingston,21.1734,5.4
MO,Monroe,11.5288,2.8
TX,Hill,43.8718,7
WY,Sheridan,16.2154,1.2
NC,Brunswick,32.3555,11.3
VA,Richmond city,58.3002,50.1
SD,Jackson,54.9787,0.7
ND,Stutsman,12.1035,1.1
MO,Bollinger,6.4642,0.4
WI,Ashland,28.8816,0.5
KS,Sedgwick,49.0071,9.5
VA,Albemarle,37.9061,9.8
AL,Limestone,37.4819,13.2
WV,Tyler,3.9485,0.3
IL,Williamson,17.1118,4.2
OH,Huron,16.4356,1.3
AR,Lafayette,50.425,37.1
IL,Jefferson,24.1409,8.8
TN,Weakley,23.2338,8
TX,Uvalde,43.1513,1.2
ND,Renville,8.92,0.5
ME,Knox,7.8006,0.6
ND,Sargent,10.4182,0.5
AZ,Greenlee,54.8693,1.5
PA,Elk,4.5325,0.4
AR,Hot Spring,29.8168,11.5
VA,Rockbridge,12.6433,2.7
MO,Jackson,53.569,24
WI,Clark,11.8336,0.4
OH,Tuscarawas,9.107,0.8
ND,Griggs,3.9496,0.3
IL,Perry,24.799,8.8
CO,La Plata,34.5799,0.5
KS,Wyandotte,67.8912,25.1
IN,Madison,25.3268,8.5
AL,Monroe,53.0753,41.3
NC,Franklin,51.6495,26.9
IA,Butler,5.3053,0.4
GA,Upson,45.9482,27.8
TN,Perry,13.3735,2.2
AL,Coffee,45.2732,17.5
GA,Taliaferro,52.487,58.6
WI,Shawano,23.0244,0.4
WV,Pleasants,7.029,1.5
MO,Mercer,6.076,0.2
PA,Montgomery,38.0006,9.3
MO,Ray,11.1678,1.4
IN,Spencer,9.0837,0.8
TX,Navarro,57.5335,14
MI,Gladwin,6.8445,0.4
MS,Choctaw,45.7591,30.3
NY,Richmond,54.7813,11.8
CA,Tulare,51.2942,2.2
GA,Bacon,40.8091,16.3
VA,Shenandoah,19.7552,2.2
WA,Klickitat,30.668,0.5
KS,Dickinson,15.6449,1.1
MS,Yalobusha,50.4723,38
TX,Gray,49.0496,5.3
AR,Drew,46.9828,28.1
IL,Rock Island,42.3906,9.6
MA,Hampshire,26.591,2.9
CA,Sutter,64.7059,2.4
KY,Wayne,11.6944,1.8
OH,Brown,6.2697,0.9
GA,Putnam,49.7584,27.2
NC,Pamlico,40.9697,20.3
IA,Hardin,13.1367,1.4
NY,Orleans,23.8283,6.4
OH,Fulton,18.4907,0.6
ND,LaMoure,4.5328,0.3
PA,Adams,18.5165,1.9
VA,Grayson,11.878,2.2
VT,Caledonia,8.9381,0.7
CA,Kings,59.646,7.4
TN,Sequatchie,10.9298,0.7
IA,Buena Vista,52.4584,2.7
MT,Missoula,18.5555,0.6
TX,Haskell,46.1653,4.5
OK,Love,43.9377,2.1
WI,Vernon,6.6452,0.4
MS,Madison,54.0075,38.5
MI,Lake,26.4193,9.2
KS,Lyon,43.1593,2.8
TN,Unicoi,11.4507,0.4
MN,Lake of the Woods,10.425,0.3
GA,Montgomery,48.2282,26.4
IL,Champaign,48.1917,12.8
NE,Lincoln,20.1105,0.9
TX,Midland,57.5881,6.8
IA,Jackson,7.8039,0.6
IL,Wayne,6.6529,0.5
PA,Tioga,7.4172,0.9
KS,Norton,19.1649,3
NE,Cheyenne,18.7133,0.4
GA,Henry,58.9671,39.6
VA,Portsmouth city,55.3946,53.5
TX,Medina,53.763,2.9
MI,Sanilac,11.1069,0.5
MN,Aitkin,10.7822,0.4
KY,Fayette,44.4007,14.9
TN,Houston,14.4454,3
CO,Larimer,28.4661,1
CT,Windham,27.5195,2.8
TN,Benton,12.8248,2.4
SD,Sully,12.8163,1.3
CO,Montezuma,42.2692,0.4
OH,Henry,17.1841,0.7
OK,Comanche,61.2108,17.6
MN,Koochiching,12.2712,0.7
MN,Wilkin,10.2302,0.3
VA,Covington city,32.6161,12.7
FL,Okeechobee,52.1031,8.9
GA,McIntosh,50.0647,34.9
GA,Murray,27.9949,1.3
ND,McHenry,9.4728,0.4
TX,Erath,38.0883,1.6
GA,Cherokee,33.8539,6.4
TX,Fayette,42.817,6.8
OH,Paulding,13.2704,1.1
IL,Whiteside,26.0087,1.6
NC,Ashe,13.7937,1
AL,Geneva,27.8204,9.8
TX,Jim Wells,33.402,0.9
IN,Hancock,12.2786,2.2
KY,Spencer,10.6116,1.7
WV,Mingo,7.406,1.9
IA,Grundy,5.1112,0.4
NV,Carson City,46.8465,2.3
MI,Kalkaska,9.6806,0.5
GA,Echols,51.2089,5.3
FL,Martin,35.5081,5.9
MO,Ste. Genevieve,6.4663,0.7
AL,Lamar,25.2158,11.4
IA,Story,25.0718,2.7
MT,Sanders,18.3062,0.3
TN,Blount,15.8881,2.9
TX,Bee,55.3516,8.5
GA,Lee,41.5404,20.4
TX,Zapata,12.2362,0.5
NM,Harding,51.0923,0.4
VT,Addison,12.0942,1
GA,Pike,24.8532,10.7
IA,Jasper,9.868,1.7
GA,Towns,9.4772,1.1
MI,Clare,9.3053,0.6
NY,Lewis,7.7944,0.9
ID,Lincoln,44.6872,0.5
MS,Simpson,49.3429,35.6
AL,Bullock,45.5794,69.9
AR,Bradley,58.0794,27.4
MN,Martin,11.2892,0.5
MN,Lac qui Parle,7.7857,0.4
SD,Faulk,5.1117,0.4
MI,Lapeer,14.3934,1.2
OK,Texas,56.384,3.3
SD,Brown,18.5932,1.4
AR,Sharp,11.3557,0.8
VT,Washington,10.6119,0.9
TN,Jackson,7.5995,0.5
MS,Jackson,47.4727,22
OR,Multnomah,46.3244,5.7
ND,Logan,5.1141,0.2
GA,Pulaski,50.2412,31.5
MO,Nodaway,13.1887,2.7
MI,Benzie,11.3538,0.6
AR,Stone,9.1157,0.3
WI,Sheboygan,25.0708,1.7
NC,Wilkes,21.142,4.4
GA,Forsyth,37.8991,3.3
FL,Baker,30.7153,13.4
KS,Sherman,26.9846,1
MI,Charlevoix,10.6074,0.4
TX,Starr,8.2592,0.4
IN,Orange,8.1754,1.2
TN,Grundy,6.6537,0.5
ID,Franklin,16.1534,0.3
UT,San Juan,55.9965,0.4
LA,St. Mary Parish,56.6763,32.7
GA,Warren,49.4816,60.3
MS,Lincoln,45.6623,30.7
KY,Johnson,4.5338,0.4
VA,Fairfax city,58.0696,5.5
AL,Cleburne,14.0602,3.6
MO,Washington,10.4208,2.3
TX,Delta,32.7473,7.5
MI,Mecosta,15.903,3
MN,Ramsey,53.8819,11.6
LA,Iberville Parish,53.1761,48.7
FL,Marion,44.0316,13.1
MT,Powell,17.7987,1.1
WI,Langlade,9.8635,0.7
MA,Middlesex,41.0254,5.4
OH,Lorain,34.8259,8.8
CO,San Juan,31.0685,0
MT,Flathead,12.8123,0.3
MS,Tishomingo,12.7893,2.9
MS,Wayne,50.2262,38.8
WY,Fremont,45.4651,0.9
OH,Geauga,8.174,1.4
MT,Silver Bow,16.0227,0.4
NV,Nye,37.4067,2.6
TX,Oldham,35.5049,3.7
MO,Chariton,8.533,2.4
IL,Clinton,15.6679,3.7
CA,Sierra,24.407,0.4
SD,Dewey,41.609,0.2
TX,Frio,36.3501,3.9
GA,Evans,56.8559,30.9
WV,Summers,15.9647,5.1
IL,Moultrie,5.3062,0.4
VA,Suffolk city,56.2004,43
VA,Nelson,31.4997,12.6
VT,Bennington,9.4951,1
TX,Madison,59.16,20.3
MO,Linn,8.1624,0.8
NC,Scotland,63.2352,39.1
MT,Stillwater,12.0521,0.3
MS,Holmes,28.7661,82.9
CO,San Miguel,22.677,0.6
IA,Lyon,7.1953,0.2
IA,Chickasaw,7.2058,0.6
OK,Cherokee,62.1119,1.5
KS,Rawlins,11.9786,0.4
SC,Kershaw,45.8886,25.1
NY,Columbia,23.1089,5
MS,Hinds,43.4097,70.3
HI,Honolulu,71.441,3
MO,Macon,11.5321,2.4
TX,Comal,44.7469,2.1
GA,Polk,44.3599,13
TX,Shackelford,24.3114,1.3
MN,Mahnomen,58.5015,0.3
NC,Lee,58.2159,20
VA,Alexandria city,64.1095,22.4
NE,Harlan,6.4471,0.1
FL,Indian River,38.8965,9.3
FL,Hernando,33.1253,5.5
OR,Hood River,48.4716,0.7
KY,Woodford,25.1051,5.4
VA,Roanoke city,53.6736,28.8
SD,Potter,8.7393,0.4
GA,Wayne,44.6628,20.5
GA,Jasper,43.0705,22.1
NC,Transylvania,17.8003,4.1
NJ,Cape May,25.2559,5
TN,Hardeman,52.0993,41.7
AR,Union,51.2687,32.6
OR,Tillamook,25.8441,0.5
IA,Emmet,22.0799,0.9
OH,Columbiana,10.6021,2.4
VA,Fairfax,64.9676,9.9
NC,Sampson,61.7255,27.1
MS,Smith,38.9503,23.5
GA,Walton,37.9201,16.6
AR,Carroll,31.5694,0.7
WY,Carbon,35.7664,1.6
IL,Vermilion,34.7296,13.4
PA,Lawrence,13.854,4.1
GA,Troup,53.4138,34.9
MS,Kemper,51.2829,60.5
VT,Franklin,10.6123,0.6
SC,Richland,58.0247,46.8
KY,Garrard,10.9624,2.2
MI,Cass,23.8134,5.4
NM,Roosevelt,54.0543,2.4
OK,Noble,30.8449,1.8
AL,Marshall,30.0119,2.3
IL,Warren,25.1369,2.2
IL,Johnson,22.7945,8.4
KS,Jefferson,11.1582,0.7
GA,Marion,54.2337,32
FL,Duval,59.1257,30
ID,Owyhee,45.6673,0.9
AL,Conecuh,52.5778,46
TX,Rusk,52.2781,17.6
AZ,Graham,60.7962,2
CA,Stanislaus,60.11,3.2
IL,Coles,16.3973,4
OH,Putnam,13.1644,0.5
MO,Perry,8.3523,0.5
MI,Alcona,7.0326,0.3
CA,Riverside,62.4784,7
MS,Adams,56.5573,53.3
LA,Beauregard Parish,34.8191,13.3
ND,Towner,12.5884,0.1
IN,Decatur,8.5503,0.5
WI,Milwaukee,61.9602,27.1
NJ,Union,66.9656,23.4
ND,Mountrail,49.8383,0.6
AR,Chicot,54.3411,54.7
AK,Juneau City and Borough,53.3985,1.5
NC,Craven,50.1585,21.8
IL,Sangamon,31.6292,12.2
GA,Jackson,30.098,7.1
KS,Cloud,11.6836,0.8
TX,Houston,53.9116,26.1
NM,Union,53.4597,2
TX,Lipscomb,47.6363,1.8
OR,Sherman,18.6294,0.3
KS,Reno,26.3159,3.3
AK,Wrangell City and Borough,45.9282,0.4
TX,Tyler,35.039,11.6
TX,Terrell,55.917,1.2
KY,Oldham,20.594,4.4
LA,Tensas Parish,52.0317,54.8
OK,Blaine,41.2397,3.2
WV,Raleigh,22.3572,8.2
UT,Kane,15.1274,0.4
KY,Fleming,7.4067,1.6
GA,Telfair,59.79,36.2
MN,Swift,12.5556,0.7
MO,Howell,9.8676,0.5
LA,St. Martin Parish,48.4996,30.7
ID,Clearwater,16.2466,0.4
IN,Tipton,8.3417,0.4
MN,Yellow Medicine,17.5977,0.4
VT,Windham,11.912,1.2
NM,San Miguel,36.7848,1.7
IN,Tippecanoe,36.4027,4.7
NE,Webster,14.1781,0.5
ND,Dunn,27.1839,0.6
MT,Jefferson,12.821,0.4
NY,Warren,10.6127,1.1
LA,Livingston Parish,20.6585,6
OH,Licking,15.5178,3.7
MN,Itasca,14.5929,0.4
ND,McKenzie,37.3199,0.7
GA,Wilkes,54.545,42.6
WV,Taylor,7.2304,1
AL,Covington,28.7773,12.7
NY,Niagara,24.2081,7
GA,Hart,39.2314,18.6
WI,Kenosha,38.2821,7.2
MD,Worcester,33.9116,13.9
VA,Dinwiddie,49.819,32.6
TX,Lamar,40.8744,13.5
WI,Oconto,8.5481,0.3
NE,Pawnee,8.5379,0.4
NC,Forsyth,57.3836,27.1
NC,Johnston,47.7976,15.9
KS,Gray,28.4304,0.8
TX,Wichita,50.3696,10.7
MI,Wayne,58.8653,39.6
SC,Sumter,56.0046,47.1
CA,Trinity,30.0837,0.6
AL,Escambia,52.5935,32.2
KS,Doniphan,18.5535,3.5
WV,Doddridge,7.7941,1.6
MS,Monroe,45.3225,30.6
AL,Madison,50.4851,24.5
TX,Gillespie,36.3,0.6
TX,Zavala,13.2587,1.2
OH,Pickaway,12.9649,3.7
MN,Cass,27.4425,0.3
IN,Noble,21.7368,0.7
OK,Harmon,55.1609,8
KS,Gove,7.5859,0.5
NC,Rutherford,28.4228,10
IN,Jackson,18.0297,1
IA,Mitchell,5.1106,0.5
WA,Okanogan,50.248,0.8
AZ,Mohave,35.9677,1.3
OH,Warren,21.9735,3.5
NE,Hooker,6.832,0
KY,Breathitt,4.9227,0.5
MS,Amite,50.5187,41.2
VA,King William,38.7107,17.6
NE,Clay,18.3007,0.7
KY,McCreary,18.7594,5.8
IN,Scott,7.0289,0.4
CA,Yuba,59.0487,3.9
SC,Laurens,46.3094,25.9
LA,Morehouse Parish,52.3222,47.8
CO,Moffat,29.7211,0.5
NE,Kimball,21.4581,0.2
TN,Claiborne,7.9909,1.1
KY,Warren,33.4798,9.2
IL,Pulaski,49.0321,32.7
MO,Laclede,11.5438,0.8
TX,Cameron,20.6384,0.8
KY,Larue,15.5115,3.1
NY,Bronx,49.9601,43.3
SC,Greenville,47.4382,18.5
KY,Campbell,13.5453,2.9
AZ,La Paz,54.2742,1
MN,Dakota,33.2227,5.4
NE,Madison,31.1459,1.7
KY,Montgomery,13.333,3
OR,Gilliam,19.094,0.2
FL,Collier,50.557,7.1
PA,Erie,25.4506,7.5
IL,Madison,25.0803,8.1
GA,Treutlen,48.7881,32.7
MA,Norfolk,36.4996,6.7
TX,Tarrant,64.4473,15.9
VA,Fredericksburg city,57.1987,24.1
ND,Mercer,11.3379,0.4
TX,Liberty,49.331,10.9
OK,Coal,45.7798,0.8
TX,Pecos,46.9302,4.3
OK,Murray,42.533,1.8
NE,Colfax,51.8483,2.6
IN,Cass,30.3256,2
TN,Smith,12.9933,2.2
MO,Shannon,11.1537,0.3
WI,Chippewa,10.9977,1.5
IA,Mahaska,10.4335,1.2
WI,Lafayette,9.9823,0.4
IA,Guthrie,7.4,0.3
MI,Keweenaw,4.3287,0.2
TX,Calhoun,57.5457,3
KS,Elk,14.7706,0.1
SC,Dorchester,50.6692,26
NY,Suffolk,46.8776,8.2
ID,Caribou,14.6771,0.3
CO,Pitkin,24.1631,0.8
WI,Barron,11.3589,1.1
OK,Latimer,49.012,1.2
TN,Sullivan,11.7227,2.3
MO,Carroll,10.6143,2.1
NE,Dodge,24.4645,1.1
TX,Harris,68.2123,19.5
AL,Perry,45.099,67.6
TX,Limestone,55.9616,18
PA,Sullivan,11.5157,2.9
KS,Ellsworth,24.5588,5
SC,Williamsburg,47.3051,65.5
IN,White,18.0206,0.8
GA,Brantley,13.7111,3.3
AR,Ouachita,52.6027,40.1
SC,Bamberg,49.5821,61.4
FL,Bay,37.1522,11.2
SD,Stanley,23.3463,0.8
VA,Roanoke,23.2838,5.6
KS,Bourbon,16.7877,3.2
TX,Lampasas,42.0595,4
VA,Petersburg city,36.6982,77.8
TX,Upshur,32.8709,8.7
MI,Ottawa,27.0814,1.8
IN,Ripley,7.2214,0.4
MN,Norman,18.3028,0.5
NE,Sarpy,30.4569,4.4
IL,McDonough,21.7601,5.5
MI,Houghton,13.1946,0.9
TX,Briscoe,44.8628,2.6
NH,Strafford,15,1.2
OR,Umatilla,47.1531,1
AL,Crenshaw,44.5408,24.1
IA,O'Brien,11.8326,0.9
NC,Randolph,33.7266,6.3
UT,Sevier,14.5369,0.3
TX,DeWitt,56.1553,9.6
MO,Webster,9.864,1.1
MO,Ripley,8.5577,0.5
KS,Woodson,11.8745,0.4
TN,Carroll,26.6898,10.7
ND,Morton,16.2179,0.8
IN,Hendricks,23.9477,5.8
VT,Orleans,8.3652,0.8
KS,Lincoln,9.2922,0.3
IN,Harrison,7.6008,0.6
WA,Pierce,49.9671,7.3
AL,DeKalb,32.7182,2
NC,Duplin,61.4029,25.9
TX,Smith,55.8215,17.9
AR,Crawford,25.7511,1.5
WA,Thurston,39.1913,3.3
TX,Sterling,51.0528,1.4
AL,Randolph,39.737,20.1
TN,Gibson,36.4387,18.5
MS,Perry,35.8358,19.8
VA,Campbell,32.5602,14.4
IN,Sullivan,14.7337,4.6
NJ,Sussex,22.1418,2.1
KY,Pike,5.3083,0.7
NC,Durham,65.1831,38.7
TX,Concho,52.0625,2.5
DE,Sussex,41.0139,12.9
NE,Dixon,23.6175,0.6
OH,Williams,12.5789,1.1
KY,Barren,16.9107,4.1
TX,Cass,38.3902,17.4
ND,Billings,6.643,0.3
GA,Haralson,15.8223,4.8
SD,Aurora,14.7695,0.4
NM,Bernalillo,59.1041,3.4
OK,McCurtain,54.7169,8.7
MS,Yazoo,53.656,57.2
OK,Pottawatomie,43.3827,3.1
VA,Norfolk city,61.266,42.8
IA,Fayette,10.2373,1.2
WI,Crawford,8.5454,2
KY,Robertson,4.7203,0.3
SC,Oconee,26.541,7.8
GA,Wheeler,53.3755,38.3
PA,Mifflin,6.6509,0.7
CO,Gilpin,20.6903,1.1
LA,Lincoln Parish,54.6476,41.4
GA,Fulton,62.6907,44.4
TX,Gregg,57.2375,20.3
CA,Monterey,56.9329,3.6
AL,St. Clair,24.7528,9.3
MI,Washtenaw,46.3465,12.9
FL,Pasco,36.786,5.3
SD,Yankton,18.0246,2.1
NE,Burt,11.879,0.5
OH,Van Wert,10.0255,1
KY,Carroll,20.7804,2
IA,Des Moines,21.2082,5.7
OK,Grady,31.0587,2.5
KS,Coffey,11.3537,0.8
TN,Cumberland,9.6593,0.6
OH,Wyandot,8.713,0.4
LA,Bossier Parish,48.1481,21.4
FL,Columbia,42.5468,18.4
NC,Caldwell,21.6792,5.1
IL,Menard,7.7996,1.1
