State,County,Population_Diversity_Index,Black_pop_perc
WI,Marathon,19.3154,0.8
FL,Citrus,20.4041,3.1
TX,Swisher,57.337,7.7
AR,Howard,50.7901,21.2
FL,Calhoun,37.9056,13.4
TX,Motley,32.3368,2.1
GA,Glascock,22.8616,9.4
PA,Lehigh,47.1196,8.2
MS,Lafayette,44.7832,23.8
NY,Sullivan,42.5527,9.8
IN,Dubois,15.1094,0.5
UT,Weber,36.9438,1.6
GA,Bartow,35.7673,10.8
SD,Walworth,31.9845,0.4
TX,Gaines,50.9607,2.1
SD,Campbell,6.0728,0.1
IA,Dallas,23.2271,1.7
MS,Tunica,39.0752,75.1
NY,Queens,74.2224,20.9
GA,Baker,55.4672,45.6
ND,Kidder,11.4573,0.4
MI,Otsego,9.4971,0.5
SD,Kingsbury,8.735,0.4
WA,Wahkiakum,16.9233,0.3
AK,North Slope Borough,61.2887,1.1
TN,DeKalb,19.1245,2.1
MN,Kanabec,9.1152,0.5
OH,Stark,23.0844,7.8
NY,Albany,42.0065,13.5
GA,Jenkins,54.9508,43.2
FL,Polk,54.4458,15.6
NM,Lea,54.3478,4.3
WA,Franklin,55.247,2.6
TN,Bledsoe,14.9502,4
SD,Lincoln,11.7435,1.2
IL,Marion,15.3249,4
IN,Allen,40.8551,12.2
IN,Shelby,13.3173,1.2
SC,Edgefield,54.3149,36.8
GA,Washington,52.8219,52.6
OK,Beckham,39.3611,4.5
IL,Hamilton,6.4549,0.6
TX,Red River,42.5545,17.4
SD,Spink,9.4863,0.7
OH,Erie,27.6188,8.7
MN,Carlton,21.217,1.6
TN,Tipton,38.1897,18.7
OK,Canadian,37.4837,2.8
MS,Leake,59.0242,41.7
AK,Yakutat City and Borough,69.8748,0.9
GA,Sumter,55.7514,52.5
ID,Fremont,25.9801,0.8
AR,Monroe,52.8269,40.1
AK,Ketchikan Gateway Borough,54.1652,0.9
NV,Clark,67.3066,11.5
NE,Dundy,17.7563,0.5
KS,Franklin,15.8545,1.4
VT,Grand Isle,11.7162,0.5
VA,Cumberland,49.7661,32.3
IN,Porter,27.4087,3.6
LA,Calcasieu Parish,46.0464,25.2
NE,Saunders,8.1638,0.5
IL,Will,52.2787,11.6
TX,Henderson,35.0927,6.6
MO,Benton,8.3631,0.4
WI,Bayfield,25.931,0.6
VA,Poquoson city,14.1123,1
AZ,Pinal,56.9087,4.8
WI,Columbia,11.8982,1.4
NY,Tioga,8.5537,0.9
GA,Johnson,49.3985,34.6
NY,Broome,26.7476,5.5
FL,Monroe,47.1566,6.9
OR,Washington,49.3451,2.1
OH,Summit,35.5959,14.7
WI,Burnett,17.9517,0.7
CA,Glenn,55.0859,1.1
CO,Montrose,37.0753,0.7
ME,Lincoln,6.6558,0.4
CO,Denver,60.615,10.2
TX,Bell,65.3821,22.4
TX,Wheeler,45.8657,2.9
GA,Brooks,53.6623,35
GA,Stephens,29.391,11.2
IA,Pocahontas,10.5779,0.9
OK,Tulsa,55.2901,10.8
MO,Clay,30.2568,5.8
WY,Uinta,22.5552,0.8
OK,Ellis,22.0857,0.6
AL,Clay,33.7811,14.4
TN,Dyer,33.106,14.6
IA,Cedar,7.7853,0.5
MO,Howard,17.0306,5.3
NY,Rensselaer,27.2796,7.2
AL,Fayette,26.1504,11.8
AK,Prince of Wales-Hyder Census Area,60.0004,0.4
IA,Iowa,7.7751,0.6
TX,Crosby,53.8474,4.4
LA,Lafayette Parish,48.4672,26.1
LA,Franklin Parish,46.428,31.6
NC,Pender,41.6583,17.3
NE,Perkins,8.8647,0.8
IA,Tama,29.1607,0.5
MO,Lawrence,18.4634,0.5
IL,Alexander,52.0524,36.1
KS,Stanton,50.1455,0.9
AL,Dale,45.6053,19.6
NV,Esmeralda,44.3834,2.8
MN,McLeod,14.3207,0.7
KY,Lawrence,4.5301,0.4
SD,Beadle,32.0296,1.7
TX,Garza,56.5915,7.3
KS,Stevens,47.7129,0.7
NE,Cuming,19.2307,0.3
WV,Lincoln,3.5585,0.2
KS,Neosho,17.4237,1.2
MO,Stone,8.735,0.4
SC,Clarendon,53.7069,48.9
LA,Ouachita Parish,51.7071,37.1
TX,Cherokee,54.817,14.9
TX,Wilbarger,54.2915,8.7
NE,Grant,5.4922,0.2
TX,Montague,23.8791,0.6
WI,Eau Claire,16.2475,1
AK,Wade Hampton Census Area,14.702,0.2
HI,Kauai,73.0326,0.7
MO,McDonald,35.5383,1.5
TN,Montgomery,51.8661,19.4
NM,Hidalgo,51.1588,1.2
IL,Logan,23.7089,8
TN,Union,6.2611,0.2
OH,Ross,18.9113,6.2
UT,Garfield,17.7268,0.5
NC,Washington,54.963,49.2
VA,Essex,54.6371,38.5
OK,Mayes,50.8904,0.6
VA,New Kent,33.995,13.7
VA,Warren,22.4328,5.1
KS,Smith,8.1713,0.4
TX,Colorado,56.4287,13.3
WA,Benton,42.6929,1.6
TN,Grainger,8.8992,0.7
MS,Humphreys,39.1594,74.7
LA,Jefferson Davis Parish,35.5321,17.1
VT,Windsor,9.1231,0.7
VA,Mathews,24.2813,9
TX,Knox,52.7048,6
TX,Winkler,51.668,2.9
PA,Northampton,35.5754,6.1
KS,Barton,30.0496,1.8
LA,Jefferson Parish,60.7961,27
