Year,Age,Gender,Race,official_action,Victim_Criminal_Charges_Simplified,Shootings_manner_of_death,armed_simplified,Shootings_signs_of_mental_illness,Shootings_threat_level,Shootings_flee,Shootings_body_camera,Geography,Population,White_Percent,Black_Percent,Hispanic_Percent,Asian_Percent,Other_Percent,Firearm_per_10k,n,Crime_Index_10k,police_frac_total_expend,officers_per_10k_pop,density_p_mi2_2020,density_p_mi2_2017
2015,41,M,B,Justified,No Charges,shot,FALSE,TRUE,other,Not fleeing,FALSE,Suburban,11617527,78.9,12.2,3.7,2.2,0.2,151.34,29,900.9,0.034459482,21.9,287.5038,285.3236338
2015,30,M,W,Pending,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Urban,3120960,85.9,3.3,5.9,2.6,0.2,117.08,5,946.9,0.024930123,17.1,56.9284,56.31722076
2015,30,M,W,Pending,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Urban,3120960,85.9,3.3,5.9,2.6,0.2,117.08,5,946.9,0.024930123,10,56.9284,56.31722076
2015,30,M,W,Pending,No Charges,shot,TRUE,FALSE,attack,Car,FALSE,Urban,3120960,85.9,3.3,5.9,2.6,0.2,117.08,5,946.9,0.024930123,9.8,56.9284,56.31722076
2015,37,M,B,Justified,No Charges,shot,TRUE,FALSE,attack,Foot,TRUE,Urban,4664628,58.5,32.1,5.2,1.8,0.5,249.53,27,965.67,0.038502485,NA,107.5175,108.423595
2015,28,M,W,Pending,No Charges,shot,FALSE,FALSE,undetermined,Not fleeing,FALSE,Rural,1030475,86.3,0.4,3.7,0.7,5.9,227.82,4,NA,0.038758302,12.3,7.4668,7.217601308
2015,42,M,W,Pending,No Charges,shot,FALSE,FALSE,attack,Not fleeing,TRUE,Suburban,2981835,78.3,1.2,14,2.4,1,313.36,10,2039.04,0.030477735,22.6,39.943,37.74897164
2015,42,M,W,Pending,No Charges,shot,FALSE,FALSE,attack,Not fleeing,TRUE,Suburban,2981835,78.3,1.2,14,2.4,1,313.36,10,2039.04,0.030477735,9.3,39.943,37.74897164
2015,36,M,B,Pending,No Charges,shot,FALSE,FALSE,attack,Not fleeing,FALSE,Rural,2978048,72.3,15.2,7.4,1.6,0.6,365.34,5,NA,0.029264603,NA,58.403,57.73573556
2015,49,M,W,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,TRUE,Suburban,2981835,78.3,1.2,14,2.4,1,313.36,10,255.5,0.030477735,10.5,39.943,37.74897164
2015,71,M,W,Justified,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Rural,2978048,72.3,15.2,7.4,1.6,0.6,365.34,5,1009.01,0.029264603,NA,58.403,57.73573556
2015,33,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,NA,27470056,41.9,11.8,39.4,4.8,0.3,264.06,100,456.99,0.035660293,NA,112.8204,108.3504165
2015,39,M,W,Unreported,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Rural,12858913,61.2,14,17.2,5.4,0.1,114.86,21,96.92,0.043388431,NA,228.0243,230.588141
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,24.9,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,21.6,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,16.2,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,15.6,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,15.4,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,15.1,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,14.2,256.3727,253.7996328
