State,tot_pop_2017,hispanic_any,nh_white,nh_black,nh_asian,nh_american_indian,density_p_mi2_2020,tot_pop_2020,landArea_mi,density_p_mi2_2017,Year
OR,4142776,540924,3132752,74345,180042,38855,44.8086,4301089,95988,43.15931158,2018
PA,12805537,938428,9780941,1367815,442425,14498,286.5449,12820878,44743,286.2020204,2018
RI,1059639,163346,763670,57196,37798,3134,1021.4323,1056161,1034,1024.795938,2018
SC,5024369,285990,3197812,1344741,74889,12370,173.3174,5210095,30061,167.1391171,2018
SD,869666,31278,715927,16345,10612,74563,11.9116,903027,75811,11.4715015,2018
TN,6715984,361203,4962226,1115187,118312,13699,167.2748,6897576,41235,162.8709591,2018
TX,28304596,11158751,11855092,3330204,1344963,71859,112.8204,29472295,261232,108.3504165,2018
UT,3101833,434290,2428495,35689,74530,30073,39.943,3282115,82170,37.74897164,2018
VT,623657,11932,578706,7731,11073,1971,68.1416,628061,9217,67.66377346,2018
VA,8470020,790662,5226540,1595039,539382,20568,218.4403,8626207,39490,214.4851861,2018
WA,7405743,940792,5077103,262211,625939,75535,117.3272,7797095,66456,111.43829,2018
WV,1815857,22807,1670509,71358,13695,2391,73.9691,1778070,24038,75.54110159,2018
WI,5795483,397847,4706315,362314,158583,44664,108.0497,5851754,54158,107.010654,2018
WY,579315,58122,486586,5154,4586,12341,5.84,567025,97093,5.966599034,2018
AL,4874747,201970,3191450,1302295,65494,22209,96.9221,4908621,50645,96.25327278,2019
AK,739795,51712,448081,21192,48569,105146,1.2863,734002,570641,1.296428052,2019
AZ,7016270,2202173,3836639,290379,225810,274496,64.955,7378494,113594,61.76620244,2019
AR,3004279,223764,2173307,455500,46583,16901,58.403,3038999,52035,57.73573556,2019
CA,39536653,15477306,14616636,2164239,5679986,147880,256.3727,39937489,155779,253.7996328,2019
CO,5607154,1206724,3822055,219500,176176,32102,56.4011,5845526,103642,54.1011752,2019
CT,3588184,578833,2393694,354320,162564,7486,735.8689,3563077,4842,741.0541099,2019
DE,961939,89540,597917,206690,38404,2344,504.3073,982895,1949,493.5551565,2019
DC,693972,76526,253416,314705,28056,1574,11814.541,720687,61,11376.59016,2019
FL,20984400,5370860,11288419,3224452,578136,42654,410.1256,21992985,53625,391.3174825,2019
GA,10429379,1001472,5487048,3245371,408067,18335,186.6719,10736059,57513,181.3395059,2019
HI,1427538,150125,310584,22629,532881,1659,219.9419,1412687,6423,222.2540869,2019
ID,1716943,213619,1407302,10947,22698,19136,22.0969,1826156,82643,20.77541958,2019
IL,12802023,2206927,7834272,1790512,689701,12784,228.0243,12659682,55519,230.588141,2019
IN,6666818,461618,5278785,613080,146611,9694,188.281,6745354,35826,186.0888182,2019
IA,3145711,185746,2701250,103989,80937,7825,56.9284,3179849,55857,56.31722076,2019
KS,2913123,345510,2210739,161148,85386,17617,35.5968,2910357,81759,35.63060947,2019
