State,total_expenditure,intergovernmental_expenditure,direct_total_expenditure,ele_sec_education_expenditure,higher_education_expenditure,public_welfare_expenditure,health_hospitals_expenditure,highways_expenditure,police_expenditure,other_expenditure,exh_pop_by_thousands,Year
Rocky Mountain,8192.6549,1.8425441,8190.8124,1637.4922,1028.1644,1405.0169,695.46332,608.86264,291.69818,2524.1148,11702.298,2015
CO,8265.7341,0.31162264,8265.4225,1664.9539,986.80363,1461.7013,548.49657,539.60166,326.30944,2737.556,5452.107,2015
ID,6814.9296,0,6814.9296,1197.6878,633.51343,1543.5898,621.8775,534.8439,244.95027,2038.4669,1651.523,2015
MT,8013.1101,0,8013.1101,1714.1726,836.29645,1473.034,477.99958,875.88974,310.57454,2325.1432,1030.503,2015
UT,7563.739,0,7563.739,1481.008,1324.7272,1201.1911,702.10129,531.19182,230.52563,2092.9939,2982.497,2015
WY,14916.038,33.915119,14882.123,3284.0176,1353.4357,1404.8659,2619.9434,1388.0458,379.62463,4452.1896,585.668,2015
Far West [2],10187.294,52.734327,10134.559,1812.7023,934.30764,2400.0957,1111.3287,456.90357,393.78241,3025.4389,53002.269,2015
CA,10611.843,71.544447,10540.298,1849.7758,955.03798,2628.0047,1163.4719,425.19908,424.49015,3094.3187,38953.142,2015
NV,6824.4874,0.78154794,6823.7059,1436.5451,511.65385,1171.6969,444.77084,493.65036,391.74271,2373.6461,2868.666,2015
OR,10138.731,0,10138.731,1655.6776,1065.4825,2471.5814,930.02994,512.40404,302.72936,3200.8259,4016.918,2015
WA,9252.6045,0.82584833,9251.7786,1849.7921,917.28004,1612.6281,1196.3778,583.46589,278.67746,2813.5572,7163.543,2015
AK,20072.26,0,20072.26,3594.5316,1173.0954,2729.4776,987.83264,2160.7247,535.63908,8890.9588,737.547,2015
HI,9180.234,0.26854432,9179.9655,1387.5207,760.8648,1853.4135,831.27192,490.6832,320.60677,3535.6046,1422.484,2015
United States,9175.1809,9.9231395,9165.2577,1961.0557,891.81243,2019.7196,858.39799,550.90524,337.74601,2545.6207,323071.342,2016
New England,10168.05,1.5071333,10166.543,2323.2938,807.2856,2439.5946,455.01942,622.90772,345.27404,3173.1674,14759.146,2016
CT,9717.1444,0,9717.1444,2636.6579,940.94069,1076.933,657.80202,718.70447,349.10528,3337.0011,3578.674,2016
ME,8535.83,0,8535.83,1821.1759,610.77011,2385.2325,337.03478,756.2278,217.78319,2407.6057,1331.37,2016
MA,11027.339,0.55449572,11026.784,2268.1068,760.98114,3202.3369,443.93455,563.29045,368.50965,3419.6246,6826.022,2016
NH,8039.1657,0,8039.1657,2178.2664,733.91524,1683.0054,147.72198,533.79649,293.35513,2469.1051,1342.373,2016
RI,10062.718,17.462535,10045.256,2284.4012,645.95204,2818.3836,281.0911,427.35958,415.5022,3172.5659,1057.063,2016
VT,11595.635,0,11595.635,2579.1718,1398.0588,3013.0363,620.84298,964.3723,333.85553,2686.297,623.644,2016
Mideast,11554.462,2.8822361,11551.579,2834.5139,813.6978,2665.0433,862.3127,643.19771,424.76948,3308.0446,48940.126,2016
DE,10470.806,0.26548225,10470.541,2054.0341,1330.3537,2545.7346,596.18885,617.45588,373.38182,2953.3921,949.216,2016
DC,18600.328,0,18600.328,3796.8598,231.50129,5513.5462,1056.6377,516.80006,864.21003,6620.7727,686.575,2016
MD,9758.522,0,9758.522,2138.7317,1057.4559,2030.2034,387.54544,564.55502,442.21102,3137.8196,6004.692,2016
NJ,10445.148,1.4648686,10443.683,3040.8373,787.32925,1892.6556,628.18344,549.29993,396.48833,3148.8889,8874.516,2016
NY,13698.36,0,13698.36,3365.5412,728.14547,3314.13,1189.3324,596.18445,505.22389,3999.8026,19641.589,2016
PA,9576.154,9.9976235,9566.1564,2208.4617,841.85927,2358.0102,754.7226,826.25764,292.80814,2284.0369,12783.538,2016
Great Lakes,8547.3994,1.4569173,8545.9425,1873.2132,929.9993,1957.2727,677.2515,551.00721,310.05408,2247.1445,46820.09,2016
IL,8691.0483,0.3316469,8690.7167,2068.8934,740.22778,1659.0809,390.55976,741.53542,405.43054,2684.9888,12826.895,2016
IN,7815.8668,0.49582835,7815.371,1502.6278,970.0302,1924.6887,913.0428,408.10849,188.98402,1907.889,6633.344,2016
MI,8303.3231,0.80637949,8302.5167,1703.3108,1177.6568,1700.9018,904.40308,385.20643,252.12055,2178.9172,9951.89,2016
OH,8865.3299,4.5247088,8860.8052,1990.8657,824.96635,2442.1014,683.62243,511.35475,314.50228,2093.3923,11635.003,2016
WI,8848.7761,0,8848.7761,1920.0202,1090.4091,2122.0768,638.89448,657.60742,328.15725,2091.6109,5772.958,2016
Plains,9066.8254,4.090745,9062.7346,2012.101,986.76072,1876.7128,867.16759,771.36683,291.15141,2257.4742,21176.827,2016
IA,9759.5403,0,9759.5403,2102.4285,1251.2468,1959.0029,1262.7096,826.06565,248.72237,2109.3645,3131.785,2016
KS,8658.9899,0.24834582,8658.7416,1940.1219,1188.2568,1376.158,1149.8515,683.58647,270.89755,2049.8694,2911.263,2016
MN,10243.437,0.0262519,10243.411,2214.2067,920.14949,2758.7519,595.16596,900.77867,345.49044,2508.8678,5523.409,2016
MO,7553.2058,6.9565612,7546.2492,1694.1195,641.22504,1504.5559,997.11066,385.77028,295.62609,2027.8419,6087.203,2016
NE,9023.2874,22.778978,9000.5084,2377.0512,1275.8557,1339.1657,626.87127,832.23885,258.77265,2290.553,1905.924,2016
ND,12576.966,0,12576.966,2483.4752,1617.3993,2031.0518,306.4613,2386.8998,259.52836,3492.1502,754.353,2016
SD,8102.3665,0,8102.3665,1658.4292,1021.0965,1298.6116,323.20922,1214.0157,233.24642,2353.7577,862.89,2016
Southeast,7667.1589,0.00747921,7667.1515,1572.648,753.65072,1564.7016,914.36014,491.25375,294.91708,2075.6201,82896.442,2016
AL,8260.7382,0,8260.7382,1582.9448,1003.4174,1727.6112,1393.8221,496.42828,256.85951,1799.6549,4864.745,2016
AR,7957.8379,0.06520845,7957.7727,1701.5179,906.70109,2312.3234,481.4079,587.64584,227.52666,1740.6499,2990.41,2016
FL,7048.2179,0,7048.2179,1326.3696,523.4403,1281.6836,675.79463,500.22908,381.46926,2359.2314,20629.982,2016
GA,6666.7743,0,6666.7743,1835.739,555.21684,1142.9604,679.78934,401.24843,258.83526,1792.985,10304.763,2016
KY,8768.5288,0,8768.5288,1605.5249,985.92119,2525.6065,735.88699,623.36486,171.68785,2120.5366,4438.229,2016
LA,8682.0373,0,8682.0373,1695.0127,753.3198,1915.9312,741.40308,511.72189,341.81584,2722.8327,4678.215,2016
MS,8643.569,0,8643.569,1533.0543,1061.3557,2068.2184,1428.0236,559.11325,253.28799,1740.5158,2988.298,2016
NC,7760.85,0,7760.85,1399.095,953.90609,1405.8883,1497.5504,426.6364,301.14243,1776.6313,10156.679,2016
SC,8219.4476,0,8219.4476,1736.8215,840.51301,1529.0848,1575.4235,372.00919,249.58155,1916.0141,4958.235,2016
TN,6778.7191,0,6778.7191,1403.4877,557.53392,1759.2156,682.68721,335.30539,272.46351,1768.0258,6645.011,2016
VA,8474.6371,0.05052939,8474.5866,1953.1072,948.21772,1369.5343,868.6596,663.44737,281.5801,2390.0403,8410.946,2016
WV,8862.6856,0,8862.6856,1685.6405,958.23159,2592.8657,417.43672,698.54047,211.77009,2298.2005,1830.929,2016
Southwest,7616.8269,0.97517262,7615.8517,1723.1616,989.81705,1552.3904,719.84721,486.4599,285.41418,1858.7614,40902.502,2016
AZ,6601.8658,0,6601.8658,1128.8875,858.72424,1862.7977,270.69556,352.05642,326.42512,1802.2792,6945.452,2016
NM,10460.955,0,10460.955,1748.0381,1231.1327,2999.6851,1055.7792,466.76564,328.3924,2631.1621,2092.789,2016
OK,7476.2974,10.157715,7466.1397,1503.2634,1027.9848,1696.2105,564.75795,660.78677,261.3263,1751.8099,3926.769,2016
TX,7675.8526,0,7675.8526,1899.9467,998.96605,1346.5898,828.14349,496.84621,275.38478,1829.9755,27937.492,2016
Rocky Mountain,8421.677,2.1238491,8419.5531,1692.4066,1121.8926,1461.0626,739.40062,592.42456,290.38633,2521.9798,11891.617,2016
CO,8553.2878,0.86285294,8552.4249,1697.8733,1081.8285,1541.9337,577.21144,537.82954,330.1536,2785.5948,5540.921,2016
ID,6541.7177,0,6541.7177,1216.1451,657.93527,1450.1887,573.39877,500.28046,255.96549,1887.804,1682.93,2016
MT,8364.7675,0,8364.7675,1766.9924,902.37812,1701.1048,491.05598,833.85902,282.79802,2386.5792,1040.863,2016
UT,7868.0161,0,7868.0161,1583.0863,1446.8169,1237.7742,818.58817,511.74007,218.62294,2051.3874,3042.613,2016
WY,15572.93,35.04253,15537.887,3448.7429,1537.2093,1460.5983,2785.6492,1365.6198,399.62519,4540.4422,584.29,2016
Far West [2],10872.971,52.725309,10820.246,1957.8217,998.54891,2598.1088,1166.5028,470.72996,413.87493,3214.6586,53514.983,2016
CA,11418.468,71.705983,11346.762,2002.7865,1018.1791,2892.8559,1221.1526,437.13631,447.80058,3326.8505,39209.127,2016
NV,6947.4041,1.9117931,6945.4923,1447.0469,482.55925,1222.3817,446.47664,592.62675,404.41788,2349.9831,2919.772,2016
OR,10642.424,0,10642.424,1746.4443,1224.0932,2508.6362,1018.1823,511.48188,321.53339,3312.0533,4091.404,2016
WA,9641.468,0.61455746,9640.8535,2039.1341,973.06393,1614.6662,1244.1457,579.64969,287.10087,2903.0929,7294.68,2016
AK,18398.335,0,18398.335,3191.6025,1473.9786,3019.366,952.87686,2144.5184,496.51789,7119.4747,741.504,2016
HI,9599.2382,0.26748733,9598.9707,1486.0966,777.42603,1989.5379,818.00988,511.06046,320.59197,3696.2478,1428.105,2016
United States,9455.5531,10.021657,9445.5315,2031.214,911.74853,2085.9407,894.86346,559.71503,352.15894,2609.8908,325147.121,2017
New England,10300.481,2.0984307,10298.382,2384.0928,827.52816,2475.5901,471.54027,604.35364,349.03253,3186.245,14802.967,2017
CT,9489.362,0,9489.362,2618.4559,951.3179,1068.1164,699.3293,636.85155,329.71141,3185.5795,3573.88,2017
ME,8702.7474,0,8702.7474,1918.2331,585.99781,2394.2136,342.01907,740.26769,232.48641,2489.5297,1335.063,2017
MA,11305.249,1.7962346,11303.453,2366.1591,807.50246,3241.7247,458.93969,557.8544,376.66492,3494.6079,6863.246,2017
NH,8222.3213,0,8222.3213,2201.6904,696.53874,1805.5279,131.63383,561.10721,311.41004,2514.4132,1349.767,2017
RI,10319.943,17.733316,10302.209,2376.1631,655.37546,2934.107,281.84945,448.02013,429.67441,3177.0199,1056.486,2017
VT,11774.26,0,11774.26,2643.5355,1429.8611,2956.9561,638.88235,996.77195,349.96838,2758.2851,624.525,2017
Mideast,12027.785,2.9146408,12024.87,2946.6963,829.09414,2900.4406,877.26942,646.88746,439.11036,3385.372,48947.369,2017
DE,11168.178,1.0720129,11167.106,2144.1481,1518.1051,2621.6672,598.38801,877.69858,395.95205,3011.1464,957.078,2017
