Year,State,County,Count,officer_10k,crime_10k,pop_diversity,black_pop_perc,urbanization_index,firearm_fatalities_100k,population,pop_density,male_perc,age_20_45_perc,Official_action_taken
2015,CA,Santa Cruz,2,13.25,170.7,54.39,1.4,87.96,110.5,273503,614.38,49.64,34.14,0
2015,CA,Shasta,1,NA,165.78,32.55,1,70.71,150.25,178314,47.23,49.12,29.1,0
2015,CA,Siskiyou,2,NA,127.95,37.31,1.5,34.17,45,43254,6.89,49.82,24.76,0
2015,CA,Solano,2,9.7,21.51,72.58,14.9,96.28,272.25,433409,527.41,49.68,33.66,0
2015,CA,Sonoma,1,9.55,71.35,50.52,1.9,87.65,160.25,500863,317.84,48.9,31.4,0
2015,CA,Stanislaus,2,10.25,83.27,60.11,3.2,92.02,232.75,533211,356.7,49.48,33.93,0
2015,CA,Tehama,1,NA,163.2,44.95,0.9,48.51,45.5,63158,21.41,49.72,28.54,0
2015,CA,Tulare,3,10.67,NA,51.29,2.2,84.52,264.25,457161,94.76,49.98,33.95,0
2015,CA,Ventura,1,10.8,21.66,59.68,2.2,96.88,305,845802,458.89,49.5,32.73,0
2015,CA,Yuba,2,NA,329.21,59.05,3.9,73.78,49.5,74045,117.19,50.65,35.16,0
2015,CA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,CO,Adams,3,15,139.55,57.23,3.5,96.38,282.75,490443,420.03,50.38,37.24,0
2015,CO,Arapahoe,4,NA,67.84,55.61,10.8,98.42,343.75,630984,790.61,49.31,35.72,0
2015,CO,Boulder,3,15.8,41.96,36.07,1.1,91.09,139.25,318027,437.88,50.25,36.98,33.33
2015,CO,Denver,6,21.5,NA,60.62,10.2,100,380.25,683285,4465.92,50.08,44.4,0
2015,CO,El Paso,3,14,76.72,46.57,6.8,91.07,567.25,674001,316.91,50.44,36.28,0
2015,CO,Fremont,1,NA,NA,34.61,4,73.58,45.25,46282,30.19,57.54,32.31,0
2015,CO,Garfield,1,NA,NA,44.62,1.2,75.9,40.5,57698,19.57,50.89,33.48,0
2015,CO,Larimer,2,12.8,64.84,28.47,1,88.34,216,333303,128.39,49.86,37.37,50
2015,CO,Las Animas,1,NA,NA,53.81,1.7,59.21,19,14043,2.94,52.05,27.54,0
2015,CO,Mesa,1,18.3,179.53,30.11,0.9,87.32,145.75,148025,44.47,49.48,31.54,0
2015,CO,Moffat,1,NA,NA,29.72,0.5,72.64,23.5,12939,2.73,51.48,30.49,0
2015,CO,Pueblo,1,17.6,148.56,53.69,2.5,85.85,151.25,163006,68.31,49.28,30.79,0
2015,CO,Weld,2,14.4,61.57,46.53,1.3,79.54,157.5,285819,71.68,50.45,34.77,50
2015,CT,Middlesex,1,NA,NA,26.71,5.3,75.46,34,163724,443.34,48.76,28.21,0
2015,CT,Tolland,1,NA,NA,24.47,3.5,61.79,37,151734,369.89,50.15,33.63,0
2015,DC,District of Columbia,4,NA,NA,61.44,49.5,100,455.67,675400,NA,47.42,45.69,0
2015,DE,Kent,1,NA,NA,52.53,25.1,73.03,93.5,173128,295.35,48.22,32.62,0
