"word","freq"
"investigators",15
"little",15
"lunged",15
"mitchell",15
"others",15
"school",15
"shed",15
"shocked",15
"speak",15
"surrender",15
"accelerated",14
"activity",14
"agents",14
"apartments",14
"backed",14
"bag",14
"carjacking",14
"clark",14
"collins",14
"court",14
"creek",14
"discovered",14
"drugs",14
"early",14
"edward",14
"emergency",14
"federal",14
"initially",14
"jones",14
"jumped",14
"king",14
"lane",14
"learned",14
"location",14
"mark",14
"may",14
"morgan",14
"negotiate",14
"passing",14
"repeatedly",14
"response",14
"safety",14
"says",14
"seen",14
"taking",14
"town",14
"trespassing",14
"try",14
"wounding",14
"wounds",14
"agencies",13
"arguing",13
"black",13
"blair",13
"breaking",13
"cruiser",13
"days",13
"ditch",13
"driven",13
"individual",13
"light",13
"lived",13
"locked",13
"machete",13
"medical",13
"offduty",13
"parish",13
"parker",13
"powell",13
"refusing",13
"robbed",13
"security",13
"service",13
"sister",13
"stephen",13
"stepped",13
"suffered",13
"township",13
"unspecified",13
"use",13
"van",13
"verbal",13
"wayne",13
"williams",13
"york",13
"address",12
"attack",12
"bailey",12
"bathroom",12
"church",12
"combative",12
"control",12
"detectives",12
"disclosed",12
"evans",12
"face",12
"hed",12
"highspeed",12
"jeep",12
"known",12
"lemoine",12
"manner",12
"mile",12
"miller",12
"nelson",12
"noon",12
"noticed",12
"paul",12
"pellet",12
"phillips",12
"place",12
"resident",12
"route",12
"something",12
"sunday",12
"task",12
"unarmed",12
"violent",12
"wasnt",12
"womans",12
"accident",11
"aggressive",11
"bradley",11
"bridge",11
"brief",11
"brother",11
"claimed",11
"coleman",11
"deadly",11
"douglas",11
"drunk",11
"effect",11
"employee",11
"entry",11
"escaped",11
"exit",11
"fatal",11
"fort",11
"fuller",11
"gary",11
"jackson",11
"jeremy",11
"kyle",11
"leaving",11
"lesslethal",11
"louis",11
"marshall",11
"midnight",11
"moore",11
"narcotics",11
"negotiations",11
"obey",11
"perimeter",11
"pulling",11
"reasons",11
"richard",11
"sgt",11
"shootout",11
"speaking",11
"surrounded",11
"tip",11
"tucker",11
"using",11
"wearing",11
"active",10
"additional",10
"answered",10
"anthony",10
"approach",10
"attempt",10
"attempts",10
"baker",10
"box",10
"brown",10
"caliber",10
"carjacked",10
"charles",10
"chief",10
"cole",10
"commit",10
"concerned",10
"crashing",10
"criminal",10
"deployed",10
"determined",10
"disarm",10
"disorderly",10
"displayed",10
"district",10
"dps",10
"engaged",10
"enter",10
"executing",10
"floor",10
"forward",10
"girl",10
"green",10
"gunman",10
"hammer",10
"helicopter",10
"illness",10
"incapacitate",10
"ineffective",10
"jacob",10
"johns",10
"jonathan",10
"kent",10
"lawrence",10
"less",10
"lethal",10
"miles",10
"morning",10
"move",10
"moving",10
"nathan",10
"neck",10
"night",10
"numerous",10
"previous",10
"previously",10
"pronounced",10
"public",10
"quickly",10
"ramming",10
"roadway",10
"robbing",10
"speeding",10
"taylor",10
"thats",10
"threw",10
"timothy",10
"wilson",10
"without",10
"young",10
"abandoned",9
"agent",9
"alexander",9
"approaching",9
"assaulting",9
"beach",9
"behaving",9
"berry",9
"body",9
"broken",9
"brooks",9
"caused",9
"cop",9
"counties",9
"couple",9
"cut",9
"described",9
"feet",9
"fence",9
"fighting",9
"gregory",9
"hallway",9
"hatchet",9
"hurt",9
"jensen",9
"joined",9
"kenneth",9
"kevin",9
"knocked",9
"let",9
"license",9
"like",9
"living",9
"loud",9
"manhunt",9
"middle",9
"next",9
"noise",9
"number",9
"occupied",9
"ohio",9
"patrick",9
"placed",9
"pole",9
"reaching",9
"replica",9
"residents",9
"return",9
"revolver",9
"richardson",9
"robinson",9
"rushed",9
"saturday",9
"seeing",9
"shopping",9
"shoulder",9
"struggled",9
"texas",9
"thompson",9
"tires",9
"todd",9
"traveling",9
"tyler",9
"union",9
"unknown",9
"well",9
"work",9
"aaron",8
"accused",8
"adult",8
"alarm",8
"andrew",8
"assistance",8
"auto",8
"basement",8
"bat",8
"bean",8
"blade",8
"boulevard",8
"boy",8
"brought",8
"burgess",8
"chad",8
"clerk",8
"conducting",8
"convenience",8
"counts",8
"disabled",8
"discharged",8
"doors",8
"elderly",8
"events",8
"facility",8
"fell",8
"fletcher",8
"group",8
"hale",8
"hear",8
"hoffman",8
"homeowner",8
"issued",8
"jacobs",8
"keith",8
"kelley",8
"kidnapping",8
"kitchen",8
"lambert",8
"lewis",8
"life",8
"money",8
"negotiators",8
"nicholas",8
"norris",8
"object",8
"past",8
"patrolling",8
"picked",8
"pocket",8
"question",8
"ram",8
"relative",8
"repeated",8
"residential",8
"retreated",8
"reverse",8
"reynolds",8
"rock",8
"rolland",8
"semiautomatic",8
"seriously",8
"seven",8
"shane",8
"shop",8
"six",8
"sort",8
"spent",8
"spike",8
"springs",8
"squad",8
"stab",8
"swung",8
"tear",8
"telling",8
"though",8
"throat",8
"turning",8
"unclear",8
"waiting",8
"wouldnt",8
"years",8
"yelling",8
"aggressively",7
"alcohol",7
"alley",7
"alone",7
"asking",7
"attacking",7
"based",7
"benjamin",7
"biggs",7
"briggs",7
"bureau",7
"burke",7
"california",7
"carter",7
"castle",7
"charging",7
"christian",7
"closed",7
"commanded",7
"conduct",7
"crisis",7
"cruisers",7
"customers",7
"dennis",7
"distance",7
"distraught",7
"dodge",7
