"word","freq"
"large",6
"law",6
"leaving",6
"making",6
"manuel",6
"mendoza",6
"mesa",6
"mexico",6
"miguel",6
"molina",6
"obey",6
"onto",6
"pellet",6
"pepper",6
"property",6
"pulling",6
"radio",6
"refusing",6
"repeatedly",6
"robbed",6
"san",6
"serve",6
"sgt",6
"sitting",6
"six",6
"stab",6
"suffering",6
"swat",6
"talk",6
"team",6
"third",6
"trespassing",6
"unit",6
"using",6
"valley",6
"ventura",6
"whether",6
"will",6
"windows",6
"witness",6
"agents",5
"aggressive",5
"alejandro",5
"aliva",5
"angel",5
"argument",5
"arm",5
"baseball",5
"bathroom",5
"brandishing",5
"bus",5
"business",5
"calderon",5
"california",5
"calm",5
"chandler",5
"claimed",5
"closed",5
"colon",5
"corner",5
"crashing",5
"crime",5
"displayed",5
"distance",5
"dropped",5
"encounter",5
"fatal",5
"flagged",5
"freeway",5
"going",5
"gunman",5
"headed",5
"held",5
"high",5
"homes",5
"ignoring",5
"information",5
"initially",5
"jumping",5
"kidnapping",5
"kitchen",5
"known",5
"las",5
"leave",5
"leg",5
"license",5
"location",5
"lujan",5
"marshals",5
"matching",5
"mendez",5
"middle",5
"midnight",5
"miles",5
"mobile",5
"moments",5
"montoya",5
"moreno",5
"narcotics",5
"paul",5
"perimeter",5
"petrovich",5
"picked",5
"plate",5
"public",5
"pursuing",5
"rear",5
"receiving",5
"replica",5
"reporting",5
"response",5
"richard",5
"robert",5
"rovie",5
"ruiz",5
"safety",5
"school",5
"sergio",5
"serving",5
"set",5
"soon",5
"struggled",5
"surrender",5
"take",5
"tasers",5
"thought",5
"treated",5
"unsuccessful",5
"valdez",5
"valladares",5
"waving",5
"wouldnt",5
"wounding",5
"aaron",4
"accident",4
"activity",4
"aggressively",4
"aguilar",4
"alone",4
"andres",4
"answered",4
"apprehend",4
"approach",4
"approaching",4
"arellano",4
"assist",4
"attack",4
"attacking",4
"backpack",4
"ballardo",4
"bat",4
"bean",4
"bicycle",4
"big",4
"bike",4
"butcher",4
"camacho",4
"case",4
"caused",4
"cellphone",4
"chapa",4
"christopher",4
"clerk",4
"closet",4
"combative",4
"come",4
"coming",4
"control",4
"correa",4
"couple",4
"crimes",4
"del",4
"departments",4
"discovered",4
"eastbound",4
"exgirlfriend",4
"fbi",4
"field",4
"friend",4
"fuentes",4
"galindo",4
"galvan",4
"garden",4
"gave",4
"getting",4
"gonzales",4
"gray",4
"grimm",4
"guzman",4
"hallway",4
"handguns",4
"heights",4
"hispanic",4
"hour",4
"however",4
"human",4
"hurt",4
"illness",4
"ineffective",4
"influence",4
"initial",4
"interstate",4
"invasion",4
"james",4
"javier",4
"john",4
"kidnapped",4
"knodle",4
"know",4
"lane",4
"lapd",4
"leon",4
"lights",4
"lived",4
"local",4
"locked",4
"long",4
"maldonado",4
"manner",4
"martin",4
"meza",4
"minute",4
"mothers",4
"neck",4
"news",4
"ortiz",4
"past",4
"place",4
"pole",4
"prompted",4
"pronounced",4
"ramming",4
"reaching",4
"reasons",4
"recent",4
"reference",4
"reno",4
"resident",4
"resisted",4
"riding",4
"robbing",4
"salazar",4
"santos",4
"saturday",4
"security",4
"shotsfired",4
"speak",4
"speaking",4
"standing",4
"statement",4
"steal",4
"stopping",4
"strangely",4
"stubbs",4
"taking",4
"threat",4
"threw",4
"throat",4
"trailer",4
"tree",4
"tuesday",4
"twice",4
"unarmed",4
"unknown",4
"unspecified",4
"vallejo",4
"van",4
"vargas",4
"velasco",4
"victims",4
"video",4
"view",4
"villarreal",4
"white",4
"wilkins",4
"without",4
"work",4
"yelling",4
"accelerated",3
"acevedo",3
"agitated",3
"albuquerque",3
"alcohol",3
"already",3
"amber",3
"andrew",3
"appear",3
"arizona",3
"armando",3
"arteaga",3
"assisted",3
"backseat",3
"baker",3
"bank",3
"bar",3
"bell",3
"benjamin",3
"brothers",3
"brought",3
"bryan",3
"buck",3
"campos",3
"campus",3
"cantu",3
"caraveo",3
"cardona",3
"carjackings",3
"carrillo",3
"casino",3
"ceniceros",3
"central",3
"chair",3
"chamale",3
"chest",3
"chicago",3
"chief",3
"childress",3
"chowchilla",3
"christian",3
"circle",3
"circumstances",3
"clear",3
"climbed",3
"community",3
"concerned",3
"conduct",3
"confronting",3
"contreras",3
"cop",3
"cops",3
"corcino",3
"cruces",3
"cut",3
"deceased",3
"decedent",3
"demands",3
"detain",3
"determined",3
"directed",3
"disable",3
"dogs",3
"dominguez",3
"doors",3
"downtown",3
"drinking",3
"driveby",3
"drivers",3
"driveway",3
"drunk",3
"dui",3
"eduardo",3
"either",3
"elderly",3
"employee",3
"ending",3
"engaged",3
"enter",3
"ernesto",3
"espericueta",3
"exactly",3
"exgirlfriends",3
"face",3
"felt",3
"fernandez",3
"figueroa",3
"ford",3
"fort",3
"francisco",3
"fremont",3
"fuller",3
"garage",3
"gastelum",3
"getaway",3
"girl",3
"gleason",3
"glendale",3
"gomez",3
"gomezguerrero",3
"grand",3
"guardiola",3
"gunfight",3
"hammer",3
"happened",3
"harm",3
"health",3
"hearing",3
"hector",3
"hollywood",3
"honda",3
"hose",3
"houses",3
"houston",3
"indicated",3
"individual",3
"investigators",3
"issue",3
"issues",3
"jacob",3
"jaramillo",3
"jonathan",3
"jorge",3
"joseph",3
"kept",3
"killings",3
"knew",3
"lago",3
"landeros",3
"lead",3
"leizado",3
"lete",3
"lethal",3
"listen",3
"little",3
"lomante",3
"lopezrobledo",3
"lost",3
"lozanomurillo",3
"luna",3
"macias",3
"marco",3
"maricopa",3
"mario",3
"marquez",3
"mcdonalds",3
"medical",3
"medina",3
"met",3
"might",3
"missed",3
"mission",3
"montalvo",3
"morejon",3
"munoz",3
"nava",3
"nearly",3
"negotiations",3
"night",3
"nmsp",3
"nonlethal",3
"notified",3
"number",3
"ochoa",3
"offduty",3
"pair",3
"parents",3
"parkway",3
"parole",3
"partner",3
"paso",3
"patrolling",3
"pecos",3
"peraltalantigua",3
"pickax",3
"pinedo",3
"pinned",3
"protection",3
"questioning",3
"quiroz",3
"railroad",3
"raising",3
"ram",3
"rangers",3
"raul",3
"recovered",3
"release",3
"residential",3
"restraining",3
"resulting",3
"retreated",3
"revolver",3
"reyna",3
"rig",3
"roadway",3
"rob",3
"robberies",3
"rocks",3
"romero",3
"rosa",3
"salas",3
"scissors",3
"screaming",3
"screwdriver",3
"searched",3
"seat",3
"sedan",3
"sedillo",3
"see",3
"seeing",3
"sent",3
"served",3
"sexual",3
"sheriff",3
"shooter",3
"shopping",3
"shouting",3
"showing",3
"shows",3
"silver",3
"sort",3
"spikes",3
"step",3
"stepfather",3
"string",3
"surrounded",3
"swinging",3
"talked",3
"tasered",3
"tasering",3
"thief",3
"thomas",3
"thompson",3
"though",3
"throwing",3
"tracks",3
"trejedacampos",3
"trujillo",3
"twohour",3
"uniformed",3
"unmarked",3
"unrelated",3
"valenzuela",3
"vega",3
"veteran",3
"villalpando",3
"vista",3
"walmart",3
"weick",3
"well",3
"werent",3
"william",3
"wilson",3
"witnessed",3
"yero",3
"yet",3
"accused",2
"actions",2
"actually",2
"adame",2
"adkins",2
"adult",2
"advancing",2
"agency",2
"aid",2
"aiming",2
"alarcon",2
"albarran",2
"alcaraz",2
"alert",2
"alerted",2
"allowed",2
"alquisiras",2
"ana",2
"andrade",2
"ann",2
"announced",2
"apprehended",2
"argued",2
"arresting",2
"arrive",2
"arriving",2
"arthur",2
"assaulting",2
"assistance",2
"austin",2
"auto",2
"avendano",2
"baby",2
"backed",2
"backing",2
"bag",2
"bags",2
"balladares",2
"banging",2
"barricade",2
"bats",2
"battering",2
"battery",2
"beaten",2
"become",2
"behavior",2
"bellaire",2
"belt",2
"berrios",2
"bicyclist",2
"bloody",2
"blow",2
"bluestone",2
"bmw",2
"boise",2
"bomb",2
"bottle",2
"bottles",2
"box",2
"brick",2
"briefly",2
"brito",2
"brotherinlaw",2
"brownell",2
"brumley",2
"bullet",2
"bullets",2
"burglarize",2
"busy",2
"calata",2
"caldwell",2
"callers",2
"calling",2
"camachoalvarado",2
"can",2
"candanoza",2
"canyon",2
"caraballo",2
"carillo",2
"carport",2
"carreno",2
"carreon",2
"carreto",2
"carry",2
"carter",2
"catholic",2
"celio",2
"cesar",2
"chaidez",2
"charge",2
"chevy",2
"church",2
"clark",2
"claudia",2
"climbing",2
"collided",2
"colorado",2
"commanded",2
"committed",2
"committing",2
"complied",2
"connected",2
"construction",2
"convince",2
"cooperative",2
"coronadomartinez",2
"corporal",2
"corrections",2
"cossyleon",2
"couldnt",2
"course",2
"courtney",2
"cover",2
"covered",2
"creek",2
"criminal",2
"cruisers",2
"cuellar",2
"culdesac",2
"customers",2
"cvs",2
"damiani",2
"dangerous",2
"dankert",2
"dark",2
"deborah",2
"delfino",2
"desert",2
"detained",2
"device",2
"die",2
"direction",2
"directions",2
"discharged",2
"division",2
"dragging",2
"drawn",2
"durango",2
"early",2
"eddie",2
"edgar",2
"effect",2
"elevator",2
"elizabeth",2
"emergency",2
"emmanuel",2
"employees",2
"entering",2
"entry",2
"erick",2
"estrada",2
"estranged",2
"even",2
"evening",2
"everyone",2
"exit",2
"faced",2
"fast",2
"feared",2
"felix",2
"fell",2
"fields",2
"fifth",2
"finally",2
"firearms",2
"florida",2
"food",2
"forcing",2
"forest",2
"former",2
"forward",2
"franklin",2
"freed",2
"gardea",2
"gate",2
"george",2
"gishal",2
"give",2
"glass",2
"greeley",2
"grill",2
"group",2
"guadalupe",2
"guard",2
"gutierrez",2
"hair",2
"half",2
"hallucinating",2
"hapke",2
"hardeeville",2
"harmed",2
"harris",2
"heading",2
"hemet",2
"henry",2
"heraldes",2
"hid",2
"hill",2
"hitandrun",2
"hold",2
"homeowner",2
"hostages",2
"hpd",2
"hunting",2
"ide",2
"identity",2
"ill",2
"incapacitate",2
"indication",2
"individuals",2
"initiate",2
"initiated",2
"inn",2
"intention",2
"intentionally",2
"interviewing",2
"intoxicated",2
"irving",2
"item",2
"jaime",2
"jal",2
"jason",2
"jasper",2
"jerry",2
"joel",2
"johnson",2
"juarez",2
"june",2
"justin",2
"keifline",2
"keith",2
"knifepoint",2
"knocking",2
"knox",2
"laboy",2
"lake",2
"lanes",2
"lararodriguez",2
"lasting",2
"lemus",2
"leonardo",2
"lerma",2
"less",2
"lewis",2
"lexus",2
"like",2
"linares",2
"located",2
"locating",2
"longoria",2
"looked",2
"lopes",2
"lopezs",2
"louis",2
"lovato",2
"luceros",2
"mall",2
"maneuver",2
"marcos",2
"marijuana",2
"mark",2
"marrero",2
"mauro",2
"medellin",2
"medication",2
"meeting",2
"melendez",2
"mentally",2
"mercadobedolla",2
"merino",2
"methamphetamine",2
"miami",2
"mids",2
"minivan",2
"minor",2
"miranda",2
"mirandas",2
"mojica",2
"money",2
"montano",2
"montebello",2
"montelongo",2
"morning",2
"motorcycle",2
"muna",2
"named",2
"neared",2
"neighbor",2
"next",2
"nicholas",2
"nichols",2
"northbound",2
"northeast",2
"oak",2
"occupied",2
"oklahoma",2
"oliver",2
"oneill",2
"ornelas",2
"ortega",2
"oscar",2
"osorio",2
"others",2
"outstanding",2
"owner",2
"pacheco",2
"padron",2
"palacio",2
"palm",2
"paredes",2
"parolee",2
"pedestrian",2
"pedro",2
"pefa",2
"perform",2
"personnel",2
"pete",2
"pharmacy",2
"pineda",2
"pit",2
"plainclothes",2
"plaza",2
"pocket",2
"ponce",2
"porn",2
"positioned",2
"possession",2
"presented",2
"preston",2
"prior",2
"provided",2
"pueblo",2
"queen",2
"quickly",2
"raid",2
"ramon",2
"rancho",2
"ray",2
"recklessly",2
"recognized",2
"related",2
"relative",2
"removed",2
"rene",2
"repeated",2
"rescue",2
"resisting",2
"resulted",2
"reynaldo",2
"rialstorres",2
