Year,State,Count,Victim_median_Age,Population,Black_pop_perc,Firearm_10k,pop_density,pop_diversity,official_action_taken,Urbanization_Index,Male_pop_perc,State_median_age,State_median_age20_45_perc,Crime_10k,Pol_frac_total
2016,CO,31,37,5539215,3.9,203.44,55.25,49,0,86.2,50,36.86666667,36.77634958,836.06,3.86
2016,CT,4,25,3578141,9.9,209.26,738.46,52,70.59,88,49,40.96666667,32.20843861,374.3,3.593
2016,DC,5,31,685815,45.3,872.42,11595.57,65,0,100,47,34.03333333,46.74029809,1156.01,4.646
2016,DE,1,25,948921,21.5,55.65,498.93,56,0,83.3,48,40.66666667,32.26324373,NA,3.566
2016,FL,60,32,20613477,15.4,209.85,400.72,62,0,91.2,49,42.2,32.40944168,899.65,5.412
2016,GA,26,26,10301890,31.1,219.37,184.01,62,13.89,75.1,48,36.83333333,35.21619422,1262.38,3.882
2016,HI,6,33,1427559,1.6,60.7,221.1,80,0,91.9,49,39.23333333,33.04045427,684.12,3.34
2016,IA,5,29,3131371,3.3,116.69,56.62,26,0,64,50,38.26666667,32.89802042,556.92,2.549
2016,ID,6,52,1682380,0.6,349.49,21.44,31,0,70.6,50,36.53333333,33.2410497,613.5,3.913
2016,IL,26,29,12820527,14,115.2,229.31,57,0,88.5,49,38.26666667,34.81560187,904.98,4.665
2016,IN,14,36,6634304,9.2,201.37,187.18,36,0,72.4,49,37.8,33.76394625,989.77,2.418
2016,KS,10,50,2910844,5.5,186.92,35.61,41,0,74.2,49,36.83333333,33.52902299,NA,3.129
2016,KY,18,34,4438182,8,211.17,113.38,28,0,58.4,49,38.9,33.49091253,591.15,1.958
2016,LA,19,37,4678135,32.1,248.81,107.97,55,0,73.2,48,37.1,34.78228499,1056.41,3.937
2016,MA,12,39,6823608,7,58.45,886.95,47,0,92,49,39.46666667,34.75936072,478.19,3.342
2016,MD,15,28,6003323,29.4,213.7,625.08,64,0,87.2,48,38.83333333,34.01504919,970.15,4.532
2016,ME,2,44,1331317,1.2,130.77,43.47,13,0,38.7,49,44.83333333,30.18140637,NA,2.551
2016,MI,12,37,9950571,13.6,83.77,176.93,42,0,74.6,49,39.8,32.73532556,760.96,3.036
2016,MN,14,38,5522744,6.4,178.51,70.81,35,6.98,73.3,50,38.1,33.72560187,722.99,3.373
2016,MO,21,34,6087135,11.4,145.01,89.34,35,0,70.4,49,38.7,33.38537095,938.5,3.914
2016,MS,8,37,2987938,37.9,175.19,63.65,54,0,49.4,48,37.63333333,33.64494559,1103.23,2.93
2016,MT,5,36,1040859,0.4,225.54,7.34,25,0,55.9,50,39.93333333,32.34773755,932.93,3.381
2016,NC,33,31,10154788,21.2,178.45,214.79,55,0,66.1,48,38.86666667,33.65596396,1210.62,3.88
2016,ND,1,42,754434,3,261.39,10.99,28,0,59.9,51,35.2,35.95654641,733.67,2.064
2016,NE,7,31,1905616,4.5,156.13,25.2,36,0,73.1,50,36.6,33.6887948,786.07,2.868
2016,NH,2,22,1342307,1.3,442.08,151.57,18,0,60.3,50,42.93333333,31.66656971,350.23,3.649
2016,NJ,12,23,8870827,12.8,101.7,1219.89,63,0,94.7,49,39.96666667,33.22195058,635.05,3.796
2016,NM,21,31,2091630,1.8,506,17.25,61,0,77.4,49,38,33.13996901,1126.71,3.139
2016,NV,14,31,2917563,8.9,331.86,27.95,66,0,94.2,50,38.1,35.16953133,702.58,5.821
2016,NY,17,37,19633428,14.3,42.23,416.86,63,11.76,87.9,48,38.96666667,35.17098584,604.05,3.688
2016,OH,26,26,11634370,12.2,151.12,286.41,36,1.39,77.9,49,39.4,32.80328482,808.41,3.548
2016,OK,26,43,3926331,7.2,211.68,57.48,55,0,66.2,49,36.66666667,34.26575699,1150.24,3.495
2016,OR,15,37,4089976,1.8,182.7,43.98,41,0,81,50,39.4,35.00722193,603.33,3.021
2016,PA,22,36,12782275,10.7,212.35,286.37,40,0,78.7,49,40.76666667,32.54517988,784.09,3.058
2016,RI,2,24,1056770,5.4,44.05,1023.11,45,0,90.7,48,40.03333333,33.80645762,289.83,4.129
2016,SC,17,43,4957968,26.8,200.25,170.23,52,0,66.3,48,39.56666667,33.0418834,1254.49,3.036
2016,SD,4,36,862996,1.9,360.77,11.69,31,0,56.7,50,37.1,32.46455726,839.84,2.879
2016,TN,22,39.5,6646010,16.6,182.27,165.07,42,0,66.4,48,38.83333333,33.97988633,896.78,4.019
2016,TX,82,36,27914410,11.8,259.85,110.59,65,5.23,84.7,49,34.73333333,36.51333711,779.76,3.588
2016,UT,8,31,3041868,1.2,307.18,38.85,37,0,90.6,50,31,37.56392348,770.48,2.779
2016,VA,17,34,8410106,18.8,424.45,216.46,57,0,75.5,49,38.36666667,34.48639392,772.99,3.323
2016,VT,2,52.5,623657,1.2,123.72,67.9,14,0,38.9,49,42.9,31.47907702,587.91,2.879
2016,WA,26,41,7294771,3.5,164.27,114.38,50,0,84.1,50,37.7,35.50105059,1359.95,2.978
2016,WI,17,38,5772628,6.3,137.96,107.53,33,17.94,70.2,49,39.56666667,32.79705242,870.26,3.709
2016,WV,12,55,1831023,3.9,227.47,74.76,15,0,48.7,49,42.66666667,31.8606504,496.91,2.389
2016,WY,2,47,584215,0.9,2294.53,5.9,28,0,64.8,51,37.9,33.89462127,522.76,2.566
2017,AK,8,35.5,739700,2.9,277.41,1.29,60,0,66,51,34.53333333,35.78839979,1041.58,2.871
2017,AL,25,32,4874486,26.7,345.2,96.59,50,0,59,48,39.16666667,33.15253735,999.71,3.07
2017,AR,12,43,3001345,15.2,362.51,58.07,45,0,56.2,49,38.23333333,33.23149634,1000.26,2.718
2017,AZ,44,34,7044008,4.1,290.77,63.36,60,0,89.8,49,37.83333333,33.91616006,835.21,5.191
2017,CA,161,33,39358497,5.5,95.7,255.09,69,0,95,49,36.7,36.49859856,670.21,4.182
2017,CO,31,33,5611885,3.9,200.81,55.25,49,0,86.2,50,36.86666667,36.80159419,747.23,3.686
2017,CT,6,39,3573297,9.9,209.55,738.46,52,0,88,49,40.96666667,32.14118358,405.47,3.475
2017,DC,2,44,694906,45.3,861.01,11595.57,65,0,100,47,34.03333333,46.76775912,1020.99,4.778
2017,DE,6,27,956823,21.5,55.19,498.93,56,0,83.3,48,40.66666667,31.91413489,1062.48,3.545
2017,FL,58,41,20963613,15.4,206.35,400.72,62,0,91.2,49,42.2,32.24315411,848.79,5.522
2017,GA,29,35,10410330,31.1,217.09,184.01,62,0,75.1,48,36.83333333,34.99281676,892.92,3.814
2017,HI,3,33,1424393,1.6,60.83,221.1,80,0,91.9,49,39.23333333,32.77449381,NA,3.441
2017,IA,5,27,3141550,3.3,116.31,56.62,26,0,64,49,38.26666667,32.86825408,1237.13,2.622
2017,ID,6,45,1717715,0.6,342.3,21.44,31,0,70.6,50,36.53333333,33.26313689,533,3.9
2017,IL,20,26.5,12778828,14,115.58,229.31,57,5,88.5,49,38.26666667,34.62529661,722.1,4.506
2017,IN,19,35,6658078,9.2,200.65,187.18,36,0,72.4,49,37.8,33.63076309,786.88,2.514
2017,KS,12,28.5,2908718,5.5,187.05,35.61,41,0,74.2,50,36.83333333,33.38919729,943.46,3.202
2017,KY,17,34,4452268,8,210.5,113.38,28,0,58.4,49,38.9,33.3165973,471.31,2.105
2017,LA,19,30,4670560,32.1,249.22,107.97,55,0,73.2,48,37.1,34.52363554,1190.91,3.852
2017,MA,3,36,6859789,7,58.14,886.95,47,0,92,49,39.46666667,34.75909655,466.13,3.332
2017,MD,9,28,6023868,29.4,212.97,625.08,64,0,87.2,48,38.83333333,33.8149438,1395.28,4.41
2017,ME,9,37,1334612,1.2,130.45,43.47,13,0,38.7,49,44.83333333,30.08475021,438.89,2.671
2017,MI,14,36,9973114,13.6,83.58,176.93,42,0,74.6,49,39.8,32.67049815,670.31,2.993
2017,MN,9,40,5566230,6.4,177.11,70.81,35,0,73.3,50,38.1,33.6613396,775.93,3.355
2017,MO,31,33,6106670,11.4,144.55,89.34,35,0,70.4,49,38.7,33.28554302,1327.53,3.834
2017,MS,17,40,2988510,37.9,175.16,63.65,54,0,49.4,48,37.63333333,33.4470143,905.74,2.934
2017,MT,6,30,1052482,0.4,223.05,7.34,25,0,55.9,50,39.93333333,32.44933858,1158.27,3.339
2017,NC,22,30,10268233,21.2,176.48,214.79,55,0,66.1,48,38.86666667,33.46456867,821.06,3.984
2017,ND,3,28,754942,3,261.21,10.99,28,0,59.9,51,35.2,35.84323774,668.95,2.387
2017,NH,3,36,1348787,1.3,439.96,151.57,18,0,60.3,50,42.93333333,31.61976927,197.84,3.787
2017,NJ,12,37,8885525,12.8,101.53,1219.89,63,0,94.7,49,39.96666667,33.10189548,574.33,3.823
2017,NM,21,36.5,2091784,1.8,505.96,17.25,61,0,77.4,49,38,33.04998457,1515.47,3.305
2017,NV,16,33,2969905,8.9,326.01,27.95,66,0,94.2,50,38.1,35.01319904,723.44,5.781
2017,NY,16,32,19589572,14.3,42.33,416.86,63,0,87.9,48,38.96666667,34.96828679,499.48,3.685
