Year,State,Count,Victim_median_Age,Population,Black_pop_perc,Firearm_10k,pop_density,pop_diversity,official_action_taken,Urbanization_Index,Male_pop_perc,State_median_age,State_median_age20_45_perc,Crime_10k,Pol_frac_total
2019,VA,10,43,8535519,18.8,418.21,216.46,57,10,75.5,48,38.6,34.13548348,661.12,3.4
2019,VT,3,39,623989,1.2,123.66,67.9,14,0,38.9,49,43,31.67077574,592.41,3
2019,WA,36,35,7614893,3.5,157.36,114.38,50,2.78,84.1,50,37.8,35.98679519,1234.07,2.9
2019,WI,18,34,5822434,6.3,136.78,107.53,33,0,70.2,50,39.8,32.75393544,740.16,3.6
2019,WV,13,42.5,1792147,3.9,232.41,74.76,15,0,48.7,49,42.9,31.20636945,843.89,2.4
2019,WY,1,58,578759,0.9,2316.16,5.9,28,0,64.8,51,38.4,33.40397627,553.77,2.5
2020,AK,12,32,734002,2.9,279.56,1.29,60,0,66,51,34,35.86401678,1027.16,2.8
2020,AL,26,41.5,4908620,26.7,342.79,96.59,50,0,NA,48,38.9,33.22253671,1025.29,3.1
2020,AR,16,36.5,3039000,15.2,358.02,58.07,45,0,56.2,49,37.9,33.26569995,1041.54,2.8
2020,AZ,40,33,7378490,4.1,277.59,63.36,60,0,89.8,49,37.4,34.00170629,782.85,5.1
2020,CA,116,31,39937500,5.5,94.31,255.09,69,0,95,49,36.3,36.54103614,654.21,4
2020,CO,48,31,5845530,3.9,192.78,55.25,49,25,86.2,50,36.6,36.87546728,793.96,3.8
2020,CT,8,28.5,3563080,9.9,210.15,738.46,52,0,88,49,40.8,32.24263957,371.78,3.5
2020,DE,2,27,982895,21.5,53.73,498.93,56,0,83.3,48,40.2,32.02490226,1028.22,3.6
2020,FL,86,39,21993000,15.4,196.69,400.72,62,4.65,91.2,49,41.9,32.26219589,926.85,5.4
2020,GA,32,40.5,10736100,31.1,210.5,184.01,62,0,75.1,48,36.5,35.06035576,1065.79,3.8
2020,HI,2,33,1412690,1.6,61.34,221.1,80,0,91.9,49,38.9,32.80956284,678.67,3.4
2020,IA,4,36.5,3179850,3.3,114.91,56.62,26,50,64,50,38.1,32.91731619,805.9,2.6
2020,ID,4,34.5,1826160,0.6,321.97,21.44,31,0,70.6,50,36.1,33.31128689,501.85,3.8
2020,IL,6,31,12659700,14,116.67,229.31,57,0,88.5,49,37.9,34.68764899,838.59,4.5
2020,IN,16,31.5,6745350,9.2,198.05,187.18,36,12.5,72.4,49,37.6,33.72105605,948.64,2.5
2020,KS,4,35.5,2910360,5.5,186.95,35.61,41,0,74.2,49,36.5,33.4661023,850.91,3.2
2020,KY,18,43.5,4499690,8,208.28,113.38,28,0,58.4,49,38.7,33.34638485,533.6,2
2020,LA,18,39,4645180,32.1,250.58,107.97,55,0,73.2,48,36.6,34.5866634,1188.75,3.9
2020,MA,6,39,6976600,7,57.17,886.95,47,33.33,92,49,39.4,34.80404489,476.6,3.3
2020,MD,18,33,6083120,29.4,210.89,625.08,64,11.11,87.2,48,38.6,33.90243461,1058.03,4.5
2020,ME,6,44,1345790,1.2,129.37,43.47,13,0,38.7,49,44.6,30.17047272,499.44,2.6
2020,MI,4,42.5,10045000,13.6,82.98,176.93,42,50,74.6,49,39.7,32.7260683,735.97,3
2020,MN,6,36,5700670,6.4,172.94,70.81,35,0,73.3,50,37.9,33.74001684,692.03,3.4
2020,MO,28,33,6169270,11.4,143.08,89.34,35,7.14,70.4,49,38.5,33.3514886,1135.18,3.9
2020,MS,8,33,2989260,37.9,175.11,63.65,54,0,49.4,48,37.2,33.47455078,989.03,2.9
2020,MT,8,47.5,1086760,0.4,216.02,7.34,25,0,55.9,50,39.8,32.45901548,1008.19,3.5
2020,NC,40,35.5,10611900,21.2,170.76,214.79,55,10,66.1,48,38.6,33.53033613,889.09,3.9
2020,ND,4,27.5,761723,3,258.89,10.99,28,50,59.9,51,35.1,35.89409756,585.98,2.3
2020,NE,4,33.5,1952570,4.5,152.38,25.2,36,0,73.1,50,36.4,33.67202927,775.18,2.8
2020,NH,2,62,1371250,1.3,432.75,151.57,18,100,60.3,50,42.7,31.67778616,281.32,3.8
2020,NJ,10,36,8936570,12.8,100.95,1219.89,63,0,94.7,49,39.8,33.16532413,646.72,3.8
2020,NM,10,36,2096640,1.8,504.79,17.25,61,0,77.4,49,37.5,33.11143447,1190.53,3.2
2020,NV,28,37.5,3139660,8.9,308.38,27.95,66,0,94.2,50,37.9,35.10883501,618.97,5.8
2020,NY,22,34,19440500,14.3,42.65,416.86,63,0,87.9,48,38.7,35.04964487,547.04,3.7
2020,OH,20,41,11747700,12.2,149.66,286.41,36,0,77.9,49,39.3,32.76825126,799.39,3.5
2020,OK,24,33,3954820,7.2,210.15,57.48,55,16.67,66.2,49,36.4,34.1939499,944.71,3.5
2020,OR,22,44.5,4301090,1.8,173.73,43.98,41,18.18,81,49,39.2,35.0577694,704.22,3
2020,PA,16,33,12820900,10.7,211.71,286.37,40,25,78.7,49,40.7,32.51435612,695.71,3.1
2020,SC,20,43.5,5210100,26.8,190.56,170.23,52,10,66.3,48,39.2,32.86572926,1138.43,3
2020,SD,2,30,903027,1.9,344.77,11.69,31,0,56.7,50,36.8,32.46493489,727.54,2.9
2020,TN,20,37,6897580,16.6,175.63,165.07,42,10,66.4,48,38.7,33.93281038,958.78,4.1
2020,TX,72,31,29472300,11.8,246.12,110.59,65,0,84.7,49,34.4,36.42499467,755.13,3.6
2020,UT,10,41,3282120,1.2,284.69,38.85,37,0,90.6,50,30.7,37.66495782,890.6,2.9
2020,VA,18,24,8626210,18.8,413.81,216.46,57,0,75.5,48,38.1,34.3847046,661.12,3.4
2020,WA,28,32,7797100,3.5,153.68,114.38,50,14.29,84.1,50,37.6,35.67382895,1234.07,2.9
2020,WI,18,32,5851750,6.3,136.09,107.53,33,11.11,70.2,50,39.3,32.77484075,740.16,3.6
2020,WV,2,NA,1778070,3.9,234.25,74.76,15,0,48.7,49,42.4,31.61778955,843.89,2.4
